fragment,follicle_1,follicle_2,distance_px
A_top_left,15,14,68
A_top_left,29,16,90
A_top_left,14,29,93.9
A_top_left,29,30,100.6
A_top_left,16,30,100.6
A_top_left,15,29,105.1
A_top_left,16,13,149.8
A_top_left,15,16,165.1
A_top_left,14,16,179.5
A_top_left,13,30,181.7
A_top_left,14,30,183.8
A_top_left,13,17,190
A_top_left,15,30,205.7
A_top_left,29,13,234.2
A_top_left,15,13,313.8
A_top_left,14,13,327.3
A_top_left,16,17,331.4
A_top_left,17,30,370.8
A_top_left,29,17,420.1
A_top_left,15,17,487
A_top_left,14,17,510.9
B_bottom_left,34,32,65
B_bottom_left,19,32,76.2
B_bottom_left,34,19,78.3
B_bottom_left,32,18,91.8
B_bottom_left,21,22,97.1
B_bottom_left,34,18,151.8
B_bottom_left,19,18,159.1
B_bottom_left,20,21,207.2
B_bottom_left,33,18,225
B_bottom_left,33,34,225.2
B_bottom_left,33,32,231.6
B_bottom_left,33,20,233.5
B_bottom_left,18,20,239.6
B_bottom_left,33,19,296.1
B_bottom_left,20,22,300.2
B_bottom_left,32,20,317.6
B_bottom_left,33,21,357.2
B_bottom_left,34,20,357.5
B_bottom_left,19,20,392.7
B_bottom_left,33,22,416.2
B_bottom_left,18,21,443
B_bottom_left,32,21,512.8
B_bottom_left,18,22,530.5
B_bottom_left,34,21,542
B_bottom_left,19,21,588.9
B_bottom_left,32,22,594.5
B_bottom_left,34,22,617.8
B_bottom_left,19,22,670.4
C_right,8,4,67.3
C_right,4,27,68
C_right,24,11,80.2
C_right,12,7,80.6
C_right,4,25,100
C_right,25,9,100
C_right,25,27,100.1
C_right,9,10,106.1
C_right,8,25,109.2
C_right,11,28,109.7
C_right,28,1,112.4
C_right,3,26,115
C_right,23,25,116.6
C_right,23,9,121.7
C_right,26,10,125.1
C_right,8,27,130.4
C_right,1,12,133.1
C_right,8,23,137.6
C_right,12,23,140.1
C_right,2,6,146
C_right,3,6,149.8
C_right,11,1,152.3
C_right,24,5,157
C_right,11,5,159.8
C_right,1,7,161
C_right,7,3,173.9
C_right,7,26,175.6
C_right,9,26,178
C_right,23,4,180
C_right,24,28,184.4
C_right,27,9,188.2
C_right,25,10,190.4
C_right,31,24,191.4
C_right,23,7,191.4
C_right,8,9,198.3
C_right,5,2,199.1
C_right,4,9,200
C_right,12,9,203
C_right,7,9,207.4
C_right,23,27,210.3
C_right,1,5,214.8
C_right,23,10,225.1
C_right,24,1,229.4
C_right,28,12,234.3
C_right,12,26,235.8
C_right,3,10,240.1
C_right,7,10,244.6
C_right,12,25,248.6
C_right,28,5,249.1
C_right,2,3,251.2
C_right,27,10,252.2
C_right,12,3,253.5
C_right,31,11,254
C_right,26,6,258.3
C_right,23,26,259.4
C_right,1,23,262.5
C_right,5,7,270.6
C_right,12,10,271.9
C_right,8,12,272.9
C_right,28,7,273.1
C_right,9,3,277.7
C_right,25,26,278
C_right,7,25,280
C_right,11,12,284.1
C_right,4,10,285
C_right,11,7,293.5
C_right,5,6,294.7
C_right,8,10,297.5
C_right,7,6,298.3
C_right,5,3,304.1
C_right,5,12,305.4
C_right,1,3,310.4
C_right,12,4,320
C_right,31,28,322.6
C_right,23,3,328.8
C_right,8,7,328.9
C_right,31,5,335.4
C_right,7,2,335.6
C_right,1,9,336
C_right,1,26,336.2
C_right,28,23,344
C_right,12,27,347.1
C_right,24,2,350.3
C_right,11,2,357.8
C_right,24,7,358.1
C_right,24,12,358.5
C_right,27,26,360
C_right,4,7,365.8
C_right,2,26,365.9
C_right,1,2,369.4
C_right,8,26,371.7
C_right,25,3,375.7
C_right,1,25,377
C_right,12,6,378
C_right,4,26,378
C_right,7,27,380
C_right,10,6,381.5
C_right,1,8,381.6
C_right,5,26,392.5
C_right,1,6,393.7
C_right,1,10,397.6
C_right,11,3,401.2
C_right,31,1,403.9
C_right,12,2,403.9
C_right,11,23,414.4
C_right,28,3,418.6
C_right,9,6,427.5
C_right,28,9,434.9
C_right,11,6,435.5
C_right,28,2,436
C_right,1,4,437.4
C_right,24,3,442.5
C_right,28,8,442.7
C_right,5,23,445.1
C_right,28,26,448.5
C_right,24,6,451.2
C_right,8,3,457
C_right,11,26,458
C_right,28,25,460.6
C_right,27,3,465.2
C_right,1,27,472.8
C_right,23,6,473.2
C_right,4,3,474.5
C_right,5,9,477.8
C_right,11,9,485.5
C_right,28,6,486.6
C_right,2,10,490.4
C_right,24,23,491.9
C_right,5,10,498.7
C_right,28,4,505.1
C_right,28,10,505.1
C_right,31,2,507.1
C_right,9,2,512.1
C_right,24,26,513
C_right,25,6,525.5
C_right,23,2,526.5
C_right,11,8,528.6
C_right,11,25,529.2
C_right,31,12,536.9
C_right,11,10,537.8
C_right,31,7,546.1
C_right,5,25,547.3
C_right,28,27,550.1
C_right,24,9,557.1
C_right,8,5,577.6
C_right,11,4,586.9
C_right,24,10,602.1
C_right,25,2,602.7
C_right,8,6,604.6
C_right,24,25,605.7
C_right,24,8,608.3
C_right,27,6,614.7
C_right,4,6,624.1
C_right,11,27,624.6
C_right,5,4,625.1
C_right,31,6,626.8
C_right,31,3,632.5
C_right,5,27,647.3
C_right,31,23,661.9
C_right,8,2,663.9
C_right,24,4,666
C_right,4,2,695.9
C_right,27,2,699.2
C_right,24,27,702.1
C_right,31,26,704.3
C_right,31,9,739.1
C_right,31,8,765.3
C_right,31,25,778.2
C_right,31,10,790.7
C_right,31,4,827.5
C_right,31,27,870.7
