"seq_unique","HH117-SI-MILF-INF","HH117-SI-MILF-nonINF","HH117-SI-PP-nonINF_Fol-2","HH117-SI-PP-nonINF_Fol-8","HH117-SI-PP-nonINF_Fol-18","HH117-SI-PP-nonINF_Fol-4","HH117-SI-PP-nonINF_Fol-5","HH117-SI-PP-nonINF_Fol-6"
"seq1",1,0,0,0,0,0,0,0
"seq10",0,1,0,0,0,0,0,0
"seq11",0,0,1,0,0,0,0,0
"seq12",0,0,0,1,0,0,0,0
"seq13",0,0,1,0,1,0,0,0
"seq14",0,0,1,0,0,0,0,0
"seq15",0,0,0,1,0,0,0,0
"seq16",0,0,0,0,0,1,1,1
"seq17",0,0,0,1,0,0,0,0
"seq18",0,0,0,1,0,0,0,0
"seq19",0,0,0,1,0,0,0,0
"seq2",0,3,0,0,0,0,0,0
"seq20",0,0,0,1,0,0,0,0
"seq21",0,0,0,0,0,0,0,1
"seq22",0,0,0,0,0,0,0,1
"seq3",0,1,0,0,0,0,0,0
"seq4",0,1,0,0,0,0,0,0
"seq5",0,3,0,0,0,0,0,0
"seq6",0,2,0,0,0,0,0,0
"seq7",0,2,0,0,0,0,0,0
"seq8",0,1,0,0,0,0,0,0
"seq9",0,1,0,0,0,0,0,0
