"seq_unique","IGHA1","IGHA2:IGHA1","IGHA1:IGHA2","IGHA2:IGHM","IGHA1:IGHM","IGHA2"
"seq1",49,0,0,0,0,0
"seq10",1,0,0,0,0,0
"seq11",5,0,0,0,0,0
"seq12",23,0,0,0,0,0
"seq13",1,0,0,0,0,0
"seq14",0,2,0,0,0,0
"seq15",1,0,0,0,0,0
"seq16",4,0,0,0,0,0
"seq17",4,0,0,0,0,0
"seq18",1,0,0,0,0,0
"seq19",2,0,0,0,0,0
"seq2",0,0,27,0,0,0
"seq20",0,0,0,2,0,0
"seq21",2,0,0,0,0,0
"seq22",1,0,0,0,0,0
"seq23",5,0,0,0,0,0
"seq24",2,0,0,0,0,0
"seq25",1,0,0,0,0,0
"seq26",0,0,0,0,2,0
"seq27",0,0,0,0,0,1
"seq28",5,0,0,0,0,0
"seq29",1,0,0,0,0,0
"seq3",13,0,0,0,0,0
"seq30",2,0,0,0,0,0
"seq31",1,0,0,0,0,0
"seq32",2,0,0,0,0,0
"seq33",2,0,0,0,0,0
"seq34",1,0,0,0,0,0
"seq35",1,0,0,0,0,0
"seq4",1,0,0,0,0,0
"seq5",1,0,0,0,0,0
"seq6",0,0,22,0,0,0
"seq7",4,0,0,0,0,0
"seq8",2,0,0,0,0,0
"seq9",0,0,8,0,0,0
