"seq_unique","Memory_Bcells","GC_B_cells","PCs"
"seq1",1,0,0
"seq10",0,1,0
"seq11",0,2,0
"seq12",0,1,0
"seq13",0,0,1
"seq14",0,1,0
"seq15",0,1,0
"seq16",0,3,0
"seq17",0,1,0
"seq18",0,2,0
"seq19",1,0,0
"seq2",1,0,0
"seq20",1,0,0
"seq21",0,1,0
"seq22",0,1,0
"seq23",0,1,0
"seq24",0,1,0
"seq25",0,1,0
"seq26",0,1,0
"seq27",1,0,0
"seq28",0,1,0
"seq29",0,1,0
"seq3",1,0,0
"seq30",0,1,0
"seq31",0,1,0
"seq32",1,0,0
"seq33",0,1,0
"seq34",0,2,0
"seq35",0,1,0
"seq36",0,1,0
"seq37",0,1,0
"seq38",0,1,0
"seq39",0,1,0
"seq4",1,0,0
"seq40",0,1,0
"seq41",0,1,0
"seq42",0,1,0
"seq43",0,0,8
"seq44",0,0,10
"seq45",0,0,3
"seq46",0,0,1
"seq47",0,0,2
"seq48",0,0,2
"seq49",0,0,1
"seq5",0,0,2
"seq50",0,0,1
"seq51",0,0,1
"seq52",0,0,1
"seq53",0,0,1
"seq54",0,0,1
"seq55",1,0,0
"seq56",0,1,0
"seq57",0,0,1
"seq58",0,0,1
"seq59",0,0,1
"seq6",1,0,0
"seq7",1,0,0
"seq8",1,0,0
"seq9",0,1,0
