"seq_unique","Memory_Bcells","GC_B_cells"
"seq1",1,0
"seq10",0,1
"seq11",0,1
"seq12",0,1
"seq13",0,1
"seq14",0,1
"seq15",0,1
"seq16",0,1
"seq17",0,4
"seq18",0,1
"seq19",0,1
"seq2",1,0
"seq20",0,1
"seq21",0,1
"seq22",0,1
"seq23",0,1
"seq24",0,1
"seq25",0,1
"seq26",0,1
"seq27",0,1
"seq28",0,1
"seq29",0,1
"seq3",0,1
"seq30",0,1
"seq31",0,1
"seq32",0,1
"seq33",0,1
"seq34",0,1
"seq35",0,1
"seq36",0,1
"seq37",0,1
"seq38",0,1
"seq39",0,1
"seq4",0,1
"seq40",0,1
"seq5",0,1
"seq6",0,1
"seq7",0,3
"seq8",0,1
"seq9",0,1
