"seq_unique","IGHM","IGHG1","NA","IGHA1","IGHM:IGHA2","IGHA2"
"seq1",1,0,0,0,0,0
"seq10",0,1,0,0,0,0
"seq11",2,0,0,0,0,0
"seq12",1,0,0,0,0,0
"seq13",1,0,0,0,0,0
"seq14",0,1,0,0,0,0
"seq15",1,0,0,0,0,0
"seq16",3,0,0,0,0,0
"seq17",1,0,0,0,0,0
"seq18",0,2,0,0,0,0
"seq19",1,0,0,0,0,0
"seq2",1,0,0,0,0,0
"seq20",1,0,0,0,0,0
"seq21",1,0,0,0,0,0
"seq22",0,1,0,0,0,0
"seq23",1,0,0,0,0,0
"seq24",0,0,1,0,0,0
"seq25",1,0,0,0,0,0
"seq26",1,0,0,0,0,0
"seq27",1,0,0,0,0,0
"seq28",1,0,0,0,0,0
"seq29",1,0,0,0,0,0
"seq3",1,0,0,0,0,0
"seq30",1,0,0,0,0,0
"seq31",1,0,0,0,0,0
"seq32",0,0,0,1,0,0
"seq33",1,0,0,0,0,0
"seq34",2,0,0,0,0,0
"seq35",0,1,0,0,0,0
"seq36",1,0,0,0,0,0
"seq37",1,0,0,0,0,0
"seq38",1,0,0,0,0,0
"seq39",1,0,0,0,0,0
"seq4",1,0,0,0,0,0
"seq40",1,0,0,0,0,0
"seq41",0,1,0,0,0,0
"seq42",1,0,0,0,0,0
"seq43",8,0,0,0,0,0
"seq44",0,0,0,0,10,0
"seq45",3,0,0,0,0,0
"seq46",1,0,0,0,0,0
"seq47",2,0,0,0,0,0
"seq48",2,0,0,0,0,0
"seq49",1,0,0,0,0,0
"seq5",2,0,0,0,0,0
"seq50",1,0,0,0,0,0
"seq51",1,0,0,0,0,0
"seq52",1,0,0,0,0,0
"seq53",0,0,0,1,0,0
"seq54",1,0,0,0,0,0
"seq55",1,0,0,0,0,0
"seq56",1,0,0,0,0,0
"seq57",1,0,0,0,0,0
"seq58",1,0,0,0,0,0
"seq59",0,0,0,1,0,0
"seq6",1,0,0,0,0,0
"seq7",1,0,0,0,0,0
"seq8",0,0,0,0,0,1
"seq9",0,1,0,0,0,0
