"seq_unique","HH117-SI-MILF-INF:HH117-SI-PP-nonINF_Fol-2:HH117-SILP-INF:HH117-SILP-nonINF","HH117-SI-PP-nonINF_Fol-3:HH117-SILP-nonINF","HH117-SILP-INF:HH117-SILP-nonINF","HH117-SILP-INF","HH117-SILP-nonINF","HH117-SI-MILF-INF","HH117-SI-MILF-INF:HH117-SILP-nonINF","HH117-SI-MILF-INF:HH117-SI-MILF-nonINF:HH117-SI-PP-nonINF_Fol-4:HH117-SI-PP-nonINF_Fol-18:HH117-SI-PP-nonINF_Fol-2:HH117-SILP-INF:HH117-SILP-nonINF","HH117-SI-MILF-INF:HH117-SI-MILF-nonINF:HH117-SILP-INF","HH117-SI-MILF-nonINF:HH117-SILP-nonINF","HH117-SI-PP-nonINF_Fol-4"
"seq1",12,0,0,0,0,0,0,0,0,0,0
"seq10",0,2,0,0,0,0,0,0,0,0,0
"seq11",0,0,4,0,0,0,0,0,0,0,0
"seq12",0,0,0,2,0,0,0,0,0,0,0
"seq13",0,0,0,1,0,0,0,0,0,0,0
"seq14",0,0,13,0,0,0,0,0,0,0,0
"seq15",0,0,0,1,0,0,0,0,0,0,0
"seq16",0,0,0,1,0,0,0,0,0,0,0
"seq17",0,0,0,1,0,0,0,0,0,0,0
"seq18",0,0,0,1,0,0,0,0,0,0,0
"seq19",0,0,0,0,2,0,0,0,0,0,0
"seq2",0,0,0,0,0,2,0,0,0,0,0
"seq3",0,0,0,0,0,0,3,0,0,0,0
"seq4",0,0,0,0,0,0,0,26,0,0,0
"seq5",0,0,0,0,0,0,0,0,9,0,0
"seq6",0,0,0,0,0,0,3,0,0,0,0
"seq7",0,0,0,0,0,1,0,0,0,0,0
"seq8",0,0,0,0,0,0,0,0,0,2,0
"seq9",0,0,0,0,0,0,0,0,0,0,1
