"seq_unique","HH117-SI-MILF-INF:HH117-SILP-INF:HH117-SILP-nonINF","HH117-SILP-INF","HH117-SILP-nonINF","HH117-SI-MILF-INF","HH117-SI-MILF-nonINF:HH117-SILP-INF","HH117-SILP-INF:HH117-SILP-nonINF"
"seq1",15,0,0,0,0,0
"seq10",0,4,0,0,0,0
"seq11",0,0,1,0,0,0
"seq12",0,0,1,0,0,0
"seq13",0,0,1,0,0,0
"seq14",0,0,1,0,0,0
"seq15",0,0,1,0,0,0
"seq16",0,1,0,0,0,0
"seq17",0,0,1,0,0,0
"seq2",0,0,0,1,0,0
"seq3",0,0,0,0,14,0
"seq4",0,0,0,0,0,34
"seq5",0,1,0,0,0,0
"seq6",0,4,0,0,0,0
"seq7",0,1,0,0,0,0
"seq8",0,1,0,0,0,0
"seq9",0,2,0,0,0,0
