"seq_unique","HH117-SI-PP-nonINF_Fol-17","HH117-SI-PP-nonINF_Fol-6","HH117-SI-PP-nonINF_Fol-9","HH117-SILP-INF","HH117-SILP-nonINF","HH117-SI-PP-nonINF_Fol-16","HH117-SI-PP-nonINF_Fol-18"
"seq1",1,5,0,0,0,0,0
"seq10",0,1,0,0,0,0,0
"seq11",0,0,1,0,0,0,0
"seq12",0,1,0,0,0,0,0
"seq13",0,1,0,0,0,0,0
"seq14",0,1,0,0,0,0,0
"seq15",0,1,0,0,0,0,0
"seq16",0,1,0,0,0,0,0
"seq17",0,1,0,0,0,0,0
"seq18",0,1,0,0,0,0,0
"seq19",0,1,0,0,0,0,0
"seq2",1,0,0,0,0,0,0
"seq20",0,1,0,0,0,0,0
"seq21",0,0,0,1,0,0,0
"seq22",0,0,0,0,1,0,0
"seq3",0,0,0,0,0,1,0
"seq4",0,1,0,0,0,0,3
"seq5",0,2,0,0,0,0,0
"seq6",0,1,0,0,0,0,0
"seq7",0,1,0,0,0,0,0
"seq8",0,1,0,0,0,0,0
"seq9",0,0,0,0,0,1,0
