"seq_unique","HH117-SI-MILF-nonINF","HH117-SI-PP-nonINF_Fol-6","HH117-SI-PP-nonINF_Fol-5","HH117-SI-PP-nonINF_Fol-18","HH117-SI-PP-nonINF_Fol-4","HH117-SILP-nonINF"
"seq1",1,0,0,0,0,0
"seq10",0,4,0,0,0,0
"seq11",0,1,0,0,0,0
"seq12",0,1,0,0,0,0
"seq13",0,0,1,0,0,0
"seq14",0,1,0,0,0,0
"seq15",0,0,0,1,0,0
"seq16",0,1,0,0,0,0
"seq17",0,0,0,0,1,0
"seq18",0,0,0,0,1,0
"seq19",0,1,0,0,0,0
"seq2",1,0,0,0,0,0
"seq20",0,0,0,0,0,1
"seq3",1,0,0,0,0,0
"seq4",2,0,0,0,0,0
"seq5",1,0,0,0,0,0
"seq6",1,0,0,0,0,0
"seq7",1,0,0,0,0,0
"seq8",1,0,0,0,0,1
"seq9",1,0,0,0,0,0
