"seq_unique","HH119-SI-PP_Fol-5","HH119-SI-PP_Fol-9","HH119-SI-PP_Fol-25","HH119-SI-PP_Fol-4","HH119-SI-PP_Fol-30","HH119-SILP","HH119-SI-PP_Fol-13"
"seq1",1,2,0,0,0,0,0
"seq10",0,1,0,0,0,0,0
"seq11",0,0,1,0,0,0,0
"seq12",0,1,0,0,0,0,0
"seq13",0,1,0,0,0,0,0
"seq14",1,0,0,0,0,0,0
"seq15",0,1,0,0,0,0,0
"seq16",0,1,0,0,0,0,0
"seq17",0,0,0,1,0,0,0
"seq18",1,0,0,0,0,0,0
"seq19",0,2,0,0,0,0,0
"seq2",0,5,0,0,0,0,0
"seq20",0,0,0,1,0,0,0
"seq21",0,0,0,1,0,0,0
"seq22",0,0,0,0,1,0,0
"seq23",0,0,1,0,0,0,0
"seq24",0,0,1,0,0,0,0
"seq25",0,0,0,0,1,0,0
"seq26",0,0,0,0,0,1,0
"seq3",0,7,0,0,0,0,0
"seq4",0,0,0,0,0,0,1
"seq5",0,3,0,0,0,0,0
"seq6",0,2,0,0,0,0,0
"seq7",0,0,0,1,0,0,0
"seq8",0,1,0,0,0,0,0
"seq9",0,1,0,0,0,0,0
