"seq_unique","GC_B_cells","PCs","Memory_Bcells","Unconventional_Bcells","Naive_Bcells"
"seq1",1,0,0,0,0
"seq10",1,0,0,0,0
"seq100",1,0,0,0,0
"seq1000",453,0,0,0,0
"seq1001",1,0,0,0,0
"seq1002",2,0,0,0,0
"seq1003",1,0,0,0,0
"seq1004",1,0,0,0,0
"seq1005",45,0,0,0,0
"seq1006",2,0,0,0,0
"seq1007",6,0,0,0,0
"seq1008",9,0,0,0,0
"seq1009",5,0,0,0,0
"seq101",3,0,0,0,0
"seq1010",1,0,0,0,0
"seq1011",1,0,0,0,0
"seq1012",3,0,0,0,0
"seq1013",5,0,0,0,0
"seq1014",10,0,0,0,0
"seq1015",1,0,0,0,0
"seq1016",2,0,0,0,0
"seq1017",1,0,0,0,0
"seq1018",1,0,0,0,0
"seq1019",64,0,0,0,0
"seq102",8,0,0,0,0
"seq1020",82,0,0,0,0
"seq1021",1,0,0,0,0
"seq1022",1,0,0,0,0
"seq1023",1,0,0,0,0
"seq1024",1,0,0,0,0
"seq1025",17,0,0,0,0
"seq1026",3,0,0,0,0
"seq1027",3,0,0,0,0
"seq1028",1,0,0,0,0
"seq1029",1,0,0,0,0
"seq103",1,0,0,0,0
"seq1030",9,0,0,0,0
"seq1031",2,0,0,0,0
"seq1032",2,0,0,0,0
"seq1033",15,0,0,0,0
"seq1034",1,0,0,0,0
"seq1035",121,0,0,0,0
"seq1036",1,0,0,0,0
"seq1037",1,0,0,0,0
"seq1038",1,0,0,0,0
"seq1039",31,0,0,0,0
"seq104",1,0,0,0,0
"seq1040",1,0,0,0,0
"seq1041",2,0,0,0,0
"seq1042",6,0,0,0,0
"seq1043",1,0,0,0,0
"seq1044",2,0,0,0,0
"seq1045",1,0,0,0,0
"seq1046",2,0,0,0,0
"seq1047",1,0,0,0,0
"seq1048",23,0,0,0,0
"seq1049",1,0,0,0,0
"seq105",2,0,0,0,0
"seq1050",1,0,0,0,0
"seq1051",1,0,0,0,0
"seq1052",1,0,0,0,0
"seq1053",1,0,0,0,0
"seq1054",1,0,0,0,0
"seq1055",2,0,0,0,0
"seq1056",1,0,0,0,0
"seq1057",6,0,0,0,0
"seq1058",1,0,0,0,0
"seq1059",2,0,0,0,0
"seq106",1,0,0,0,0
"seq1060",1,0,0,0,0
"seq1061",25,0,0,0,0
"seq1062",1,0,0,0,0
"seq1063",1,0,0,0,0
"seq1064",25,1,0,0,0
"seq1065",1,0,0,0,0
"seq1066",1,0,0,0,0
"seq1067",1,0,0,0,0
"seq1068",1,0,0,0,0
"seq1069",1,0,0,0,0
"seq107",4,0,0,0,0
"seq1070",1,0,0,0,0
"seq1071",1,0,0,0,0
"seq1072",1,0,0,0,0
"seq1073",1,0,0,0,0
"seq1074",1,0,0,0,0
"seq1075",6,0,0,0,0
"seq1076",1,0,0,0,0
"seq1077",6,0,0,0,0
"seq1078",1,0,0,0,0
"seq1079",8,0,0,0,0
"seq108",1,0,0,0,0
"seq1080",1,0,0,0,0
"seq1081",1,0,0,0,0
"seq1082",1,0,0,0,0
"seq1083",2,0,0,0,0
"seq1084",1,0,0,0,0
"seq1085",110,0,0,0,0
"seq1086",5,0,0,0,0
"seq1087",1,0,0,0,0
"seq1088",7,0,0,0,0
"seq1089",1,0,0,0,0
"seq109",1,0,0,0,0
"seq1090",1,0,0,0,0
"seq1091",2,0,0,0,0
"seq1092",13,0,0,0,0
"seq1093",1,0,0,0,0
"seq1094",1,0,0,0,0
"seq1095",7,0,0,0,0
"seq1096",2,0,0,0,0
"seq1097",1,0,0,0,0
"seq1098",1,0,0,0,0
"seq1099",10,0,0,0,0
"seq11",1,0,0,0,0
"seq110",8,0,0,0,0
"seq1100",1,0,0,0,0
"seq1101",1,0,0,0,0
"seq1102",3,0,0,0,0
"seq1103",1,0,0,0,0
"seq1104",1,0,0,0,0
"seq1105",1,0,0,0,0
"seq1106",2,0,0,0,0
"seq1107",2,0,0,0,0
"seq1108",1,0,0,0,0
"seq1109",3,0,0,0,0
"seq111",3,0,0,0,0
"seq1110",23,0,0,0,0
"seq1111",5,0,0,0,0
"seq1112",6,0,0,0,0
"seq1113",2,0,0,0,0
"seq1114",1,0,0,0,0
"seq1115",1,0,0,0,0
"seq1116",1,0,0,0,0
"seq1117",1,0,0,0,0
"seq1118",1,0,0,0,0
"seq1119",1,0,0,0,0
"seq112",1,0,0,0,0
"seq1120",1,0,0,0,0
"seq1121",1,0,0,0,0
"seq1122",3,0,0,0,0
"seq1123",1,0,0,0,0
"seq1124",1,0,0,0,0
"seq1125",1,0,0,0,0
"seq1126",1,0,0,0,0
"seq1127",1,0,0,0,0
"seq1128",1,0,0,0,0
"seq1129",1,0,0,0,0
"seq113",0,1,0,0,0
"seq1130",1,0,0,0,0
"seq1131",2,0,0,0,0
"seq1132",4,0,0,0,0
"seq1133",1,0,0,0,0
"seq1134",6,0,0,0,0
"seq1135",1,0,0,0,0
"seq1136",1,0,0,0,0
"seq1137",17,0,0,0,0
"seq1138",9,0,0,0,0
"seq1139",1,0,0,0,0
"seq114",4,0,0,0,0
"seq1140",6,0,0,0,0
"seq1141",1,0,0,0,0
"seq1142",2,0,0,0,0
"seq1143",1,0,0,0,0
"seq1144",3,0,0,0,0
"seq1145",1,0,0,0,0
"seq1146",1,0,0,0,0
"seq1147",1,0,0,0,0
"seq1148",1,0,0,0,0
"seq1149",1,0,0,0,0
"seq115",1,0,0,0,0
"seq1150",1,0,0,0,0
"seq1151",14,0,1,0,0
"seq1152",6,0,0,0,0
"seq1153",1,0,0,0,0
"seq1154",6,0,0,0,0
"seq1155",1,0,0,0,0
"seq1156",1,0,0,0,0
"seq1157",1,0,0,0,0
"seq1158",1,0,0,0,0
"seq1159",1,0,0,0,0
"seq116",1,0,0,0,0
"seq1160",1,0,0,0,0
"seq1161",3,0,0,0,0
"seq1162",13,0,0,0,0
"seq1163",1,0,0,0,0
"seq1164",3,0,0,0,0
"seq1165",5,0,0,0,0
"seq1166",3,0,0,0,0
"seq1167",2,0,0,0,0
"seq1168",1,0,0,0,0
"seq1169",1,0,0,0,0
"seq117",1,0,0,0,0
"seq1170",1,0,0,0,0
"seq1171",3,0,0,0,0
"seq1172",1,0,0,0,0
"seq1173",1,0,0,0,0
"seq1174",1,0,0,0,0
"seq1175",1,0,0,0,0
"seq1176",2,0,0,0,0
"seq1177",1,0,0,0,0
"seq1178",1,0,0,0,0
"seq1179",2,0,0,0,0
"seq118",1,0,0,0,0
"seq1180",1,0,0,0,0
"seq1181",6,0,0,0,0
"seq1182",1,0,0,0,0
"seq1183",1,0,0,0,0
"seq1184",7,0,0,0,0
"seq1185",1,0,0,0,0
"seq1186",1,0,0,0,0
"seq1187",2,0,0,0,0
"seq1188",1,0,0,0,0
"seq1189",3,0,0,0,0
"seq119",0,2,0,0,0
"seq1190",1,0,0,0,0
"seq1191",1,0,0,0,0
"seq1192",26,0,0,0,0
"seq1193",2,0,0,0,0
"seq1194",11,0,0,0,0
"seq1195",1,0,0,0,0
"seq1196",3,0,0,0,0
"seq1197",1,0,0,0,0
"seq1198",12,0,0,0,0
"seq1199",1,0,0,0,0
"seq12",0,0,1,0,0
"seq120",1,0,0,0,0
"seq1200",1,0,0,0,0
"seq1201",1,0,0,0,0
"seq1202",1,0,0,0,0
"seq1203",1,0,0,0,0
"seq1204",1,0,0,0,0
"seq1205",1,0,0,0,0
"seq1206",1,0,0,0,0
"seq1207",2,0,0,0,0
"seq1208",1,0,0,0,0
"seq1209",1,0,0,0,0
"seq121",1,0,0,0,0
"seq1210",1,0,0,0,0
"seq1211",2,0,0,0,0
"seq1212",14,0,0,0,0
"seq1213",3,0,0,0,0
"seq1214",1,0,0,0,0
"seq1215",1,0,0,0,0
"seq1216",1,0,0,0,0
"seq1217",1,0,0,0,0
"seq1218",1,0,0,0,0
"seq1219",1,0,0,0,0
"seq122",1,0,0,0,0
"seq1220",1,0,0,0,0
"seq1221",1,0,0,0,0
"seq1222",3,0,0,0,0
"seq1223",1,0,0,0,0
"seq1224",1,0,0,0,0
"seq1225",2,0,0,0,0
"seq1226",3,0,0,0,0
"seq1227",2,1,0,0,0
"seq1228",1,0,0,0,0
"seq1229",10,0,0,0,0
"seq123",1,0,0,0,0
"seq1230",1,0,0,0,0
"seq1231",3,0,0,0,0
"seq1232",1,0,0,0,0
"seq1233",1,0,0,0,0
"seq1234",1,0,0,0,0
"seq1235",1,0,0,0,0
