"seq_unique","PCs","GC_B_cells"
"seq1",9,12
"seq10",1,0
"seq11",0,2
"seq12",0,7
"seq13",6,2
"seq14",0,1
"seq15",5,0
"seq16",6,0
"seq17",2,0
"seq18",0,1
"seq19",3,0
"seq2",44,31
"seq20",0,2
"seq21",1,1
"seq22",1,0
"seq23",0,1
"seq24",1,0
"seq25",1,0
"seq26",2,0
"seq27",0,1
"seq28",1,0
"seq29",0,1
"seq3",5,1
"seq30",2,4
"seq31",0,1
"seq32",1,0
"seq33",0,1
"seq34",1,0
"seq35",0,1
"seq36",0,1
"seq37",1,0
"seq38",0,1
"seq39",0,1
"seq4",0,9
"seq40",0,1
"seq41",1,0
"seq42",5,0
"seq43",2,0
"seq44",1,0
"seq45",1,0
"seq46",1,0
"seq47",2,0
"seq48",1,0
"seq5",0,1
"seq6",6,0
"seq7",0,1
"seq8",0,1
"seq9",0,1
