"seq_unique","GC_B_cells","PCs","Memory_Bcells"
"seq1",9,0,0
"seq10",0,7,0
"seq100",0,1,0
"seq101",1,0,0
"seq102",1,0,0
"seq103",1,0,0
"seq104",0,1,0
"seq105",1,0,0
"seq106",1,0,0
"seq107",0,1,0
"seq11",0,6,0
"seq12",0,7,0
"seq13",8,0,0
"seq14",0,1,0
"seq15",0,1,0
"seq16",0,2,0
"seq17",1,0,0
"seq18",0,1,0
"seq19",1,0,0
"seq2",0,1,0
"seq20",3,0,0
"seq21",0,1,0
"seq22",0,2,0
"seq23",0,1,0
"seq24",2,4,0
"seq25",1,0,0
"seq26",0,1,0
"seq27",0,1,0
"seq28",0,2,0
"seq29",0,1,0
"seq3",1,0,0
"seq30",1,0,0
"seq31",0,1,0
"seq32",1,0,0
"seq33",1,0,0
"seq34",0,1,0
"seq35",1,1,0
"seq36",0,1,0
"seq37",0,1,0
"seq38",1,0,0
"seq39",0,3,0
"seq4",5,0,0
"seq40",0,1,0
"seq41",0,1,0
"seq42",0,1,0
"seq43",0,1,0
"seq44",0,2,0
"seq45",1,0,0
"seq46",1,0,0
"seq47",1,0,0
"seq48",0,1,0
"seq49",0,1,0
"seq5",7,0,0
"seq50",1,0,0
"seq51",1,0,0
"seq52",0,2,0
"seq53",1,0,0
"seq54",1,0,0
"seq55",0,2,0
"seq56",2,0,0
"seq57",1,0,0
"seq58",1,0,0
"seq59",0,1,0
"seq6",1,0,0
"seq60",0,1,0
"seq61",0,2,0
"seq62",0,1,0
"seq63",0,1,0
"seq64",0,1,0
"seq65",1,0,0
"seq66",0,2,0
"seq67",0,1,0
"seq68",0,1,0
"seq69",0,1,0
"seq7",1,0,0
"seq70",0,1,0
"seq71",0,1,0
"seq72",0,1,0
"seq73",0,1,0
"seq74",1,0,0
"seq75",0,1,0
"seq76",0,1,1
"seq77",1,0,0
"seq78",0,3,0
"seq79",0,1,0
"seq8",0,1,0
"seq80",1,0,0
"seq81",0,1,0
"seq82",1,0,0
"seq83",0,1,0
"seq84",1,0,0
"seq85",0,1,0
"seq86",1,0,0
"seq87",0,1,0
"seq88",0,1,0
"seq89",0,1,0
"seq9",0,1,0
"seq90",1,0,0
"seq91",0,1,0
"seq92",0,1,0
"seq93",0,1,0
"seq94",1,0,0
"seq95",1,0,0
"seq96",0,1,0
"seq97",1,0,0
"seq98",0,1,0
"seq99",1,0,0
