"seq_unique","GC_B_cells","PCs","Memory_B_cells"
"seq1",9,0,0
"seq10",0,7,0
"seq100",0,1,0
"seq101",0,1,0
"seq102",1,0,0
"seq103",1,0,0
"seq104",1,0,0
"seq105",0,1,0
"seq106",1,0,0
"seq107",1,0,0
"seq108",0,1,0
"seq11",0,6,0
"seq12",0,7,0
"seq13",8,0,0
"seq14",0,1,0
"seq15",0,1,0
"seq16",0,2,0
"seq17",1,0,0
"seq18",1,0,0
"seq19",4,0,0
"seq2",0,1,0
"seq20",0,1,0
"seq21",0,2,0
"seq22",0,1,0
"seq23",2,4,0
"seq24",1,0,0
"seq25",0,1,0
"seq26",0,1,0
"seq27",0,2,0
"seq28",0,1,0
"seq29",1,0,0
"seq3",1,0,0
"seq30",0,1,0
"seq31",1,0,0
"seq32",1,0,0
"seq33",0,1,0
"seq34",1,1,0
"seq35",0,1,0
"seq36",0,1,0
"seq37",1,0,0
"seq38",0,3,0
"seq39",0,1,0
"seq4",5,0,0
"seq40",0,1,0
"seq41",0,1,0
"seq42",0,1,0
"seq43",0,2,0
"seq44",1,0,0
"seq45",1,0,0
"seq46",1,0,0
"seq47",0,1,0
"seq48",0,1,0
"seq49",1,0,0
"seq5",7,0,0
"seq50",1,0,0
"seq51",0,2,0
"seq52",1,0,0
"seq53",1,0,0
"seq54",0,2,0
"seq55",2,0,0
"seq56",1,0,0
"seq57",1,0,0
"seq58",0,1,0
"seq59",0,1,0
"seq6",1,0,0
"seq60",0,2,0
"seq61",0,1,0
"seq62",0,1,0
"seq63",0,1,0
"seq64",1,0,0
"seq65",0,2,0
"seq66",0,1,0
"seq67",0,1,0
"seq68",0,1,0
"seq69",0,1,0
"seq7",1,0,0
"seq70",0,1,0
"seq71",0,1,0
"seq72",0,1,0
"seq73",1,0,0
"seq74",0,1,0
"seq75",0,1,1
"seq76",1,0,0
"seq77",0,3,0
"seq78",0,1,0
"seq79",1,0,0
"seq8",0,1,0
"seq80",0,1,0
"seq81",0,1,0
"seq82",1,0,0
"seq83",0,1,0
"seq84",1,0,0
"seq85",0,1,0
"seq86",0,1,0
"seq87",1,0,0
"seq88",0,1,0
"seq89",1,0,0
"seq9",0,1,0
"seq90",0,1,0
"seq91",0,1,0
"seq92",0,1,0
"seq93",0,1,0
"seq94",1,0,0
"seq95",1,0,0
"seq96",0,1,0
"seq97",1,0,0
"seq98",0,1,0
"seq99",1,0,0
