"seq_unique","PCs","Memory_B_cells","GC_B_cells"
"seq1",1,1,0
"seq10",1,0,0
"seq11",0,0,1
"seq12",0,0,2
"seq13",0,0,1
"seq14",1,0,0
"seq15",0,0,1
"seq16",0,0,1
"seq17",2,0,3
"seq18",0,0,1
"seq19",0,0,1
"seq2",3,0,9
"seq20",1,0,0
"seq21",0,0,1
"seq22",0,0,1
"seq23",0,0,1
"seq24",1,0,1
"seq25",0,0,2
"seq26",0,0,1
"seq27",0,0,3
"seq28",0,0,1
"seq29",0,0,1
"seq3",0,0,1
"seq30",0,0,1
"seq31",0,0,1
"seq32",0,0,2
"seq33",0,0,1
"seq34",1,0,0
"seq35",0,0,1
"seq36",0,0,1
"seq37",0,0,1
"seq38",0,0,1
"seq39",0,0,2
"seq4",0,0,1
"seq40",0,0,1
"seq41",0,0,1
"seq42",0,0,1
"seq43",0,0,1
"seq44",2,0,0
"seq45",1,0,0
"seq5",0,0,7
"seq6",0,0,2
"seq7",0,0,2
"seq8",0,0,1
"seq9",1,0,6
