"seq_unique","IGHA2","IGHA1","NA"
"seq1",7,0,0
"seq10",1,0,0
"seq11",1,0,0
"seq12",2,0,0
"seq13",1,0,0
"seq14",1,0,0
"seq15",2,0,0
"seq16",1,0,0
"seq17",1,0,0
"seq18",2,0,0
"seq19",1,0,0
"seq2",0,1,0
"seq20",1,0,0
"seq21",1,0,0
"seq22",1,0,0
"seq23",0,1,0
"seq24",0,1,0
"seq25",1,0,0
"seq26",0,1,0
"seq27",1,0,0
"seq28",0,1,0
"seq29",1,0,0
"seq3",5,0,0
"seq30",1,0,0
"seq31",9,2,1
"seq32",0,1,0
"seq33",1,1,0
"seq34",0,1,0
"seq35",0,2,0
"seq36",1,1,0
"seq37",1,1,0
"seq38",0,2,0
"seq39",0,1,0
"seq4",3,0,0
"seq40",0,1,0
"seq41",0,1,0
"seq42",1,1,0
"seq43",0,2,0
"seq44",2,1,0
"seq45",1,0,0
"seq46",1,0,0
"seq47",0,0,1
"seq5",7,0,0
"seq6",1,0,0
"seq7",6,0,0
"seq8",1,0,0
"seq9",0,1,0
