"seq_unique","HH119-SI-MILF","HH119-SI-PP_Fol-3","HH119-SI-PP_Fol-31","HH119-SI-PP_Fol-16","HH119-SI-PP_Fol-29"
"seq1",1,0,0,0,0
"seq10",2,0,0,0,0
"seq11",1,0,0,0,0
"seq12",2,0,0,0,0
"seq13",1,0,0,0,0
"seq14",1,0,0,0,0
"seq15",2,0,0,0,0
"seq16",1,0,0,0,0
"seq17",1,0,0,0,0
"seq18",1,0,0,0,0
"seq19",1,0,0,0,0
"seq2",1,0,0,0,0
"seq20",1,0,0,0,0
"seq21",1,0,0,0,0
"seq22",0,7,0,0,0
"seq23",0,1,0,0,0
"seq24",0,0,2,0,0
"seq25",0,0,1,0,0
"seq26",0,0,0,1,0
"seq27",0,2,0,0,0
"seq28",0,0,1,0,0
"seq29",0,0,1,0,0
"seq3",1,0,0,0,0
"seq30",0,0,1,0,0
"seq31",0,0,1,0,0
"seq32",0,0,1,0,0
"seq33",0,0,1,0,0
"seq34",0,0,1,0,0
"seq35",0,0,1,0,0
"seq36",0,0,1,0,0
"seq37",0,0,1,0,0
"seq38",0,0,1,0,0
"seq39",1,0,0,0,0
"seq4",1,0,0,0,0
"seq40",0,0,0,0,1
"seq5",1,0,0,0,0
"seq6",1,0,0,0,0
"seq7",2,0,0,0,0
"seq8",1,0,0,0,0
"seq9",1,0,0,0,0
