"seq_unique","HH153-SI-PP-nonINF_Fol-9","HH153-SI-PP-nonINF_Fol-17","HH153-SI-PP-nonINF_Fol-1","HH153-SI-PP-nonINF_Fol-7","HH153-SI-PP-nonINF_Fol-16","HH153-SI-PP-nonINF_Fol-18","HH153-SILP-nonINF","HH153-SI-PP-nonINF_Fol-11","HH153-SI-PP-nonINF_Fol-19"
"seq1",1,0,0,0,0,0,0,0,0
"seq10",0,1,0,0,0,0,0,0,0
"seq11",0,1,0,0,0,0,0,0,0
"seq2",0,0,2,0,0,0,0,0,0
"seq3",0,0,1,0,0,0,0,0,0
"seq4",0,0,0,1,0,0,0,0,0
"seq5",0,12,1,0,1,3,2,0,0
"seq6",0,0,1,0,0,0,0,0,0
"seq7",1,0,0,0,0,0,2,1,1
"seq8",0,1,0,0,0,0,0,0,0
"seq9",0,0,0,0,0,1,0,0,0
