"seq_unique","IGHA1","IGHA2","IGHM/D"
"seq1",37,1,3
"seq10",0,0,1
"seq11",3,0,0
"seq12",0,1,0
"seq13",1,0,0
"seq14",1,0,0
"seq15",1,0,0
"seq16",1,0,0
"seq17",7,0,0
"seq18",1,0,0
"seq19",1,0,0
"seq2",0,1,0
"seq20",1,0,0
"seq21",0,0,1
"seq22",1,0,0
"seq23",1,0,0
"seq24",1,0,0
"seq25",1,0,0
"seq26",1,0,0
"seq27",1,0,0
"seq28",1,0,0
"seq29",1,0,0
"seq3",1,0,0
"seq30",1,0,0
"seq31",1,0,0
"seq32",1,0,0
"seq33",1,0,0
"seq34",1,0,0
"seq35",1,0,0
"seq36",1,0,0
"seq37",1,0,0
"seq38",1,0,0
"seq39",1,0,0
"seq4",1,7,0
"seq40",1,0,0
"seq41",1,0,0
"seq42",0,0,1
"seq43",1,0,0
"seq44",5,0,0
"seq45",1,0,0
"seq46",1,0,0
"seq47",1,0,0
"seq48",1,0,0
"seq49",1,0,0
"seq5",11,0,0
"seq50",1,0,0
"seq51",1,0,0
"seq52",1,0,0
"seq53",1,0,0
"seq54",1,0,0
"seq55",1,0,0
"seq56",1,0,0
"seq57",1,0,0
"seq58",1,0,0
"seq59",1,0,0
"seq6",0,1,0
"seq60",1,0,0
"seq61",1,0,0
"seq62",1,0,0
"seq63",1,0,0
"seq64",1,0,0
"seq65",1,0,0
"seq66",1,0,0
"seq67",1,0,0
"seq68",1,0,0
"seq69",1,0,0
"seq7",10,0,0
"seq70",1,0,0
"seq71",1,0,0
"seq72",1,0,0
"seq73",0,0,1
"seq74",0,0,1
"seq75",1,0,0
"seq76",0,0,1
"seq77",1,0,0
"seq78",1,0,0
"seq79",0,0,1
"seq8",9,0,4
"seq80",1,0,0
"seq81",0,0,1
"seq82",1,0,0
"seq83",0,0,1
"seq84",1,0,0
"seq85",1,0,0
"seq86",1,0,0
"seq87",1,0,0
"seq88",1,0,0
"seq89",1,0,0
"seq9",1,0,0
"seq90",1,0,0
"seq91",1,0,0
"seq92",1,0,0
"seq93",0,0,1
