"seq_unique","IGHM/D","IGHA1","IGHA2","NA","IGHG2","IGHG1"
"seq1",2,0,0,0,0,0
"seq10",0,1,0,0,0,0
"seq100",1,0,0,0,0,0
"seq101",1,0,0,0,0,0
"seq102",0,0,1,0,0,0
"seq103",1,0,0,0,0,0
"seq104",1,0,0,0,0,0
"seq105",1,0,0,0,0,0
"seq106",0,1,0,0,0,0
"seq107",0,1,0,0,0,0
"seq108",0,1,0,0,0,0
"seq11",0,1,0,0,0,0
"seq12",0,2,0,0,0,0
"seq13",0,1,0,0,0,0
"seq14",0,1,0,0,0,0
"seq15",0,1,0,0,0,0
"seq16",1,0,0,0,0,0
"seq17",1,0,0,0,0,0
"seq18",0,2,0,0,0,0
"seq19",0,1,0,0,0,0
"seq2",18,6,0,1,0,0
"seq20",1,0,0,0,0,0
"seq21",1,0,0,0,0,0
"seq22",1,0,0,0,0,0
"seq23",0,1,0,0,0,0
"seq24",0,1,0,0,0,0
"seq25",1,0,0,0,0,0
"seq26",1,1,0,0,0,0
"seq27",1,0,0,0,0,0
"seq28",0,1,0,0,0,0
"seq29",1,0,0,0,0,0
"seq3",0,1,0,0,0,0
"seq30",0,1,0,0,0,0
"seq31",1,0,0,0,0,0
"seq32",0,1,0,0,0,0
"seq33",0,1,0,0,0,0
"seq34",0,1,0,0,0,0
"seq35",1,0,0,0,0,0
"seq36",0,1,0,0,0,0
"seq37",1,0,0,0,0,0
"seq38",0,1,0,0,0,0
"seq39",1,0,0,0,0,0
"seq4",0,2,0,0,0,0
"seq40",0,1,0,0,0,0
"seq41",1,0,0,0,0,0
"seq42",0,1,0,0,0,0
"seq43",0,1,0,0,0,0
"seq44",1,0,0,0,0,0
"seq45",0,1,0,0,0,0
"seq46",0,1,0,0,0,0
"seq47",0,1,0,0,0,0
"seq48",1,0,0,0,0,0
"seq49",0,1,0,0,0,0
"seq5",0,2,0,0,0,0
"seq50",0,1,0,0,0,0
"seq51",0,1,0,0,0,0
"seq52",0,1,0,0,0,0
"seq53",0,2,0,0,0,0
"seq54",0,1,0,0,0,0
"seq55",0,1,0,0,0,0
"seq56",0,1,0,0,0,0
"seq57",0,1,0,0,0,0
"seq58",0,1,0,0,0,0
"seq59",1,0,0,0,0,0
"seq6",2,35,7,2,1,0
"seq60",0,1,0,0,0,0
"seq61",0,1,0,0,0,0
"seq62",0,1,0,0,0,0
"seq63",1,0,0,0,0,0
"seq64",0,1,0,0,0,0
"seq65",1,0,0,0,0,0
"seq66",0,1,0,0,0,0
"seq67",0,1,0,0,0,0
"seq68",0,1,0,0,0,0
"seq69",0,3,0,0,0,0
"seq7",1,0,0,0,0,0
"seq70",0,1,0,0,0,0
"seq71",0,1,0,0,0,0
"seq72",1,1,0,0,0,0
"seq73",0,1,0,0,0,0
"seq74",1,0,0,0,0,0
"seq75",1,0,0,0,0,0
"seq76",0,1,0,0,0,0
"seq77",0,1,0,0,0,0
"seq78",1,0,0,0,0,0
"seq79",1,0,0,0,0,0
"seq8",0,1,0,0,0,0
"seq80",2,0,0,0,0,0
"seq81",0,0,1,0,0,0
"seq82",1,0,0,0,0,0
"seq83",1,0,0,0,0,0
"seq84",1,0,0,0,0,0
"seq85",0,0,0,0,0,1
"seq86",1,0,0,0,0,0
"seq87",1,0,0,0,0,0
"seq88",1,0,0,0,0,0
"seq89",0,1,0,0,0,0
"seq9",0,1,0,0,0,0
"seq90",1,0,0,0,0,0
"seq91",1,0,0,0,0,0
"seq92",0,1,0,0,0,0
"seq93",1,0,0,0,0,0
"seq94",1,0,0,0,0,0
"seq95",1,0,0,0,0,0
"seq96",1,0,0,0,0,0
"seq97",0,0,0,0,0,1
"seq98",1,0,0,0,0,0
"seq99",1,0,0,0,0,0
