"seq_unique","HH153-SI-PP-nonINF_Fol-1","HH153-SI-PP-nonINF_Fol-15","HH153-SI-PP-nonINF_Fol-5","HH153-SI-PP-nonINF_Fol-19","HH153-SI-PP-nonINF_Fol-14","HH153-SI-PP-nonINF_Fol-3","HH153-SI-PP-nonINF_Fol-16","HH153-SI-PP-nonINF_Fol-17","HH153-SI-PP-nonINF_Fol-6","HH153-SILP-INF","HH153-SILP-nonINF","HH153-SI-PP-nonINF_Fol-2","HH153-SI-PP-nonINF_Fol-9","HH153-SI-PP-nonINF_Fol-12"
"seq1",1,1,0,0,0,0,0,0,0,0,0,0,0,0
"seq10",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"seq100",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"seq101",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"seq102",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"seq103",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"seq104",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"seq105",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"seq106",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"seq107",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"seq108",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"seq11",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"seq12",0,0,0,0,0,2,0,0,0,0,0,0,0,0
"seq13",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"seq14",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"seq15",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"seq16",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"seq17",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"seq18",0,0,0,0,0,2,0,0,0,0,0,0,0,0
"seq19",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"seq2",1,4,7,0,4,0,1,3,1,2,2,0,0,0
"seq20",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"seq21",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"seq22",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"seq23",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"seq24",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"seq25",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"seq26",0,0,0,0,0,1,0,0,0,0,0,1,0,0
"seq27",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"seq28",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"seq29",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"seq3",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"seq30",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"seq31",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"seq32",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"seq33",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"seq34",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"seq35",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"seq36",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"seq37",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"seq38",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"seq39",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"seq4",0,0,0,0,0,2,0,0,0,0,0,0,0,0
"seq40",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"seq41",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"seq42",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"seq43",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"seq44",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"seq45",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"seq46",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"seq47",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"seq48",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"seq49",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"seq5",0,0,1,0,0,1,0,0,0,0,0,0,0,0
"seq50",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"seq51",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"seq52",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"seq53",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"seq54",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"seq55",1,0,0,0,0,0,0,0,0,0,0,0,0,0
