seq_unique,seq_name,L1_annotation,c_call_grouped,sample_clean_fol,L1_annotation_int,c_call_grouped_int,sample_clean_fol_int
seq1,sequence_1,GC_B_cells,IGHM/D,HH153-SI-PP-nonINF_Fol-5,1,5,9
seq10,sequence_19,GC_B_cells,IGHM/D,HH153-SI-PP-nonINF_Fol-19,1,5,4
seq11,sequence_20,GC_B_cells,IGHA2,HH153-SI-PP-nonINF_Fol-19,1,3,4
seq12,sequence_24,GC_B_cells,IGHM/D,HH153-SI-PP-nonINF_Fol-19,1,5,4
seq13,sequence_25,GC_B_cells,IGHM/D,HH153-SI-PP-nonINF_Fol-19,1,5,4
seq14,sequence_30,GC_B_cells,IGHM/D,HH153-SI-PP-nonINF_Fol-19,1,5,4
seq15,sequence_32,GC_B_cells,IGHM/D,HH153-SI-PP-nonINF_Fol-19,1,5,4
seq16,sequence_37,GC_B_cells,IGHM/D,HH153-SI-PP-nonINF_Fol-19,1,5,4
seq17,sequence_38,GC_B_cells,IGHM/D,HH153-SI-PP-nonINF_Fol-19,1,5,4
seq18,sequence_39,GC_B_cells,IGHM/D,HH153-SI-PP-nonINF_Fol-19,1,5,4
seq19,sequence_41:sequence_54,GC_B_cells,IGHM/D,HH153-SI-PP-nonINF_Fol-19,1,5,4
seq2,sequence_2:sequence_9:sequence_11:sequence_13:sequence_14:sequence_17:sequence_18:sequence_21:sequence_22:sequence_23:sequence_26:sequence_27:sequence_28:sequence_29:sequence_31:sequence_33:sequence_34:sequence_35:sequence_36:sequence_40:sequence_44:sequence_46:sequence_49:sequence_50:sequence_51:sequence_52:sequence_53:sequence_55:sequence_58:sequence_59:sequence_61:sequence_62:sequence_64:sequence_66:sequence_67:sequence_68:sequence_69:sequence_71:sequence_72:sequence_73:sequence_74:sequence_75:sequence_77:sequence_79:sequence_80:sequence_81:sequence_82:sequence_83:sequence_85:sequence_89:sequence_90:sequence_95:sequence_97:sequence_99:sequence_101:sequence_102:sequence_103:sequence_104:sequence_105:sequence_107:sequence_108:sequence_112:sequence_113:sequence_114:sequence_115:sequence_117:sequence_118:sequence_119:sequence_120:sequence_121,Memory_B_cells:GC_B_cells:PCs,IGHA1:IGHM/D:IGHA2,HH153-SI-PP-nonINF_Fol-3:HH153-SI-PP-nonINF_Fol-5:HH153-SI-PP-nonINF_Fol-1:HH153-SI-PP-nonINF_Fol-19:HH153-SI-PP-nonINF_Fol-13:HH153-SI-PP-nonINF_Fol-20:HH153-SILP-INF:HH153-SILP-nonINF,3,2,8
seq20,sequence_42,GC_B_cells,IGHM/D,HH153-SI-PP-nonINF_Fol-19,1,5,4
seq21,sequence_43,GC_B_cells,IGHM/D,HH153-SI-PP-nonINF_Fol-19,1,5,4
seq22,sequence_47,GC_B_cells,IGHM/D,HH153-SI-PP-nonINF_Fol-19,1,5,4
