"seq_unique","IGHA1","IGHA2","IGHG1","IGHM/D","NA"
"seq1",27,4,0,0,0
"seq10",1,0,0,0,0
"seq11",1,0,0,0,0
"seq12",1,0,0,0,0
"seq13",1,0,0,0,0
"seq14",2,0,0,0,0
"seq15",0,0,1,0,0
"seq16",1,0,0,0,0
"seq17",0,0,0,1,0
"seq18",1,0,0,0,0
"seq19",1,0,0,0,0
"seq2",1,0,0,0,0
"seq20",1,0,0,0,0
"seq21",1,0,0,0,0
"seq22",1,0,0,0,0
"seq23",1,0,0,0,0
"seq24",1,0,0,0,0
"seq25",0,0,0,1,0
"seq26",0,1,0,0,1
"seq27",0,0,0,1,0
"seq3",1,0,0,0,0
"seq4",1,0,0,0,0
"seq5",1,0,0,0,0
"seq6",1,0,0,0,0
"seq7",1,0,0,0,0
"seq8",1,0,0,0,0
"seq9",1,0,0,0,0
