"seq_unique","HH153-SI-PP-nonINF_Fol-1","HH153-SI-PP-nonINF_Fol-11","HH153-SI-PP-nonINF_Fol-13","HH153-SI-PP-nonINF_Fol-15","HH153-SI-PP-nonINF_Fol-16","HH153-SI-PP-nonINF_Fol-2","HH153-SI-PP-nonINF_Fol-3","HH153-SI-PP-nonINF_Fol-5","HH153-SI-PP-nonINF_Fol-9","HH153-SILP-INF","HH153-SILP-nonINF","HH153-SI-PP-nonINF_Fol-18","HH153-SI-PP-nonINF_Fol-19"
"seq1",3,4,4,1,5,1,1,1,9,1,1,0,0
"seq10",0,0,0,0,0,0,0,0,1,0,0,0,0
"seq11",0,0,0,0,0,0,1,0,0,0,0,0,0
"seq12",0,0,0,0,0,0,0,0,1,0,0,0,0
"seq13",0,0,0,0,0,0,0,0,1,0,0,0,0
"seq14",0,0,2,0,0,0,0,0,0,0,0,0,0
"seq15",0,0,0,0,0,0,0,0,0,0,0,1,0
"seq16",0,1,0,0,0,0,0,0,0,0,0,0,0
"seq17",0,0,0,0,1,0,0,0,0,0,0,0,0
"seq18",0,1,0,0,0,0,0,0,0,0,0,0,0
"seq19",0,0,0,0,0,0,0,0,0,0,0,0,1
"seq2",0,0,0,0,0,0,0,0,1,0,0,0,0
"seq20",0,1,0,0,0,0,0,0,0,0,0,0,0
"seq21",0,1,0,0,0,0,0,0,0,0,0,0,0
"seq22",0,0,1,0,0,0,0,0,0,0,0,0,0
"seq23",0,1,0,0,0,0,0,0,0,0,0,0,0
"seq24",0,1,0,0,0,0,0,0,0,0,0,0,0
"seq25",0,1,0,0,0,0,0,0,0,0,0,0,0
"seq26",0,0,0,0,0,0,0,0,0,0,2,0,0
"seq27",0,0,0,0,0,0,0,0,0,0,1,0,0
"seq3",0,0,0,0,0,0,0,0,1,0,0,0,0
"seq4",0,0,0,0,0,0,0,0,1,0,0,0,0
"seq5",0,0,0,0,0,0,0,0,1,0,0,0,0
"seq6",0,0,0,0,0,0,0,0,1,0,0,0,0
"seq7",0,0,0,0,0,0,0,0,1,0,0,0,0
"seq8",0,0,0,0,0,0,0,0,1,0,0,0,0
"seq9",1,0,0,0,0,0,0,0,0,0,0,0,0
