"seq_unique","HH153-SI-PP-nonINF_Fol-4","HH153-SI-PP-nonINF_Fol-16","HH153-SI-PP-nonINF_Fol-19","HH153-SI-PP-nonINF_Fol-11","HH153-SI-PP-nonINF_Fol-13","HH153-SILP-nonINF","HH153-SI-PP-nonINF_Fol-18","HH153-SI-PP-nonINF_Fol-2","HH153-SI-PP-nonINF_Fol-1","HH153-SI-PP-nonINF_Fol-12","HH153-SI-PP-nonINF_Fol-17"
"seq1",1,0,0,0,0,0,0,0,0,0,0
"seq10",0,1,0,0,0,0,0,0,0,0,0
"seq11",0,0,4,0,0,0,0,0,0,0,0
"seq12",0,0,0,1,0,0,0,0,0,0,0
"seq13",0,0,0,3,1,4,0,0,0,0,0
"seq14",0,3,0,0,0,0,0,0,0,0,0
"seq15",0,0,0,0,1,0,0,0,0,0,0
"seq16",0,0,0,0,2,0,0,0,0,0,0
"seq17",0,0,0,0,1,0,0,0,0,0,0
"seq18",0,0,0,1,0,0,0,0,0,0,0
"seq19",0,0,0,0,0,0,1,0,0,0,0
"seq2",0,0,0,0,0,0,0,1,0,0,0
"seq20",0,1,0,0,0,0,0,0,0,0,0
"seq21",0,1,0,0,0,0,0,0,0,0,0
"seq22",0,1,0,0,0,0,0,0,0,0,0
"seq23",0,1,0,0,0,0,0,0,0,0,0
"seq24",0,0,0,1,0,0,0,0,0,0,0
"seq25",0,0,0,1,0,0,0,0,0,0,0
"seq26",0,0,0,0,1,0,0,0,0,0,0
"seq27",0,1,0,0,0,0,0,0,0,0,0
"seq3",1,0,0,0,0,2,0,0,1,0,0
"seq4",0,0,0,0,0,0,0,0,1,0,0
"seq5",1,0,0,0,0,0,0,0,0,0,0
"seq6",1,0,0,0,0,0,0,0,0,0,0
"seq7",0,0,0,0,0,0,0,0,1,0,0
"seq8",0,1,0,0,0,0,0,0,0,1,0
"seq9",0,0,0,0,0,0,0,0,0,0,1
