"seq_unique","IGHG2","IGHG1","IGHA1","NA"
"seq1",3,0,0,0
"seq10",1,0,0,0
"seq11",1,0,0,0
"seq12",1,0,0,0
"seq13",1,0,0,0
"seq14",1,0,0,0
"seq15",1,0,0,0
"seq16",1,0,0,0
"seq17",1,0,0,0
"seq18",1,0,0,0
"seq19",1,0,0,0
"seq2",1,0,0,0
"seq20",1,0,0,0
"seq21",0,1,0,0
"seq22",1,0,0,0
"seq23",1,0,0,0
"seq24",1,0,0,0
"seq25",1,0,0,0
"seq26",1,0,0,0
"seq27",1,0,0,0
"seq28",1,0,0,0
"seq29",1,0,0,0
"seq3",5,0,0,0
"seq30",1,0,0,0
"seq31",1,0,0,0
"seq32",1,0,0,0
"seq33",6,0,0,0
"seq34",1,0,1,0
"seq35",0,0,1,0
"seq4",4,0,0,1
"seq5",6,0,0,0
"seq6",1,0,0,0
"seq7",1,0,0,0
"seq8",7,0,0,0
"seq9",4,1,0,0
