"seq_unique","HH119-SI-PP_Fol-8","HH119-SI-PP_Fol-9","HH119-SILP","HH119-SI-PP_Fol-10","HH119-SI-PP_Fol-11","HH119-SI-PP_Fol-4","HH119-SI-PP_Fol-7","HH119-SI-PP_Fol-6","HH119-SI-PP_Fol-18","HH119-SI-PP_Fol-29","HH119-SI-PP_Fol-34","HH119-SI-PP_Fol-28","HH119-SI-PP_Fol-2","HH119-SI-PP_Fol-25"
"seq1",21,0,0,0,0,0,0,0,0,0,0,0,0,0
"seq10",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"seq11",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"seq12",0,7,0,0,0,0,0,0,0,0,0,0,0,0
"seq13",5,0,3,0,0,0,0,0,0,0,0,0,0,0
"seq14",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"seq15",0,5,0,0,0,0,0,0,0,0,0,0,0,0
"seq16",0,6,0,0,0,0,0,0,0,0,0,0,0,0
"seq17",0,2,0,0,0,0,0,0,0,0,0,0,0,0
"seq18",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"seq19",0,3,0,0,0,0,0,0,0,0,0,0,0,0
"seq2",68,0,0,1,1,1,1,0,0,0,0,0,0,0
"seq20",1,0,0,0,0,0,0,1,0,0,0,0,0,0
"seq21",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"seq22",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"seq23",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"seq24",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"seq25",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"seq26",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"seq27",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"seq28",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"seq29",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"seq3",6,0,0,0,0,0,0,0,0,0,0,0,0,0
"seq30",0,0,0,0,0,0,0,0,3,1,2,0,0,0
"seq31",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"seq32",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"seq33",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"seq34",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"seq35",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"seq36",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"seq37",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"seq38",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"seq39",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"seq4",9,0,0,0,0,0,0,0,0,0,0,0,0,0
"seq40",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"seq41",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"seq42",0,2,0,0,0,0,0,0,0,0,0,0,0,0
"seq43",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"seq44",0,0,5,0,0,0,0,0,0,0,0,0,0,0
"seq45",0,0,2,0,0,0,0,0,0,0,0,0,0,0
"seq46",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"seq47",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"seq48",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"seq5",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"seq6",2,0,0,0,0,0,0,0,0,0,0,0,4,0
"seq7",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"seq8",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"seq9",0,0,0,0,0,0,0,0,0,0,0,0,0,1
