"seq_unique","IGHG1","IGHG2","NA","IGHM"
"seq1",9,0,0,0
"seq10",7,0,0,0
"seq100",1,0,0,0
"seq101",1,0,0,0
"seq102",1,0,0,0
"seq103",1,0,0,0
"seq104",1,0,0,0
"seq105",1,0,0,0
"seq106",1,0,0,0
"seq107",1,0,0,0
"seq11",6,0,0,0
"seq12",7,0,0,0
"seq13",8,0,0,0
"seq14",1,0,0,0
"seq15",1,0,0,0
"seq16",2,0,0,0
"seq17",1,0,0,0
"seq18",1,0,0,0
"seq19",1,0,0,0
"seq2",1,0,0,0
"seq20",3,0,0,0
"seq21",1,0,0,0
"seq22",2,0,0,0
"seq23",1,0,0,0
"seq24",6,0,0,0
"seq25",1,0,0,0
"seq26",1,0,0,0
"seq27",1,0,0,0
"seq28",2,0,0,0
"seq29",1,0,0,0
"seq3",1,0,0,0
"seq30",1,0,0,0
"seq31",1,0,0,0
"seq32",1,0,0,0
"seq33",1,0,0,0
"seq34",1,0,0,0
"seq35",2,0,0,0
"seq36",1,0,0,0
"seq37",1,0,0,0
"seq38",1,0,0,0
"seq39",3,0,0,0
"seq4",4,1,0,0
"seq40",1,0,0,0
"seq41",1,0,0,0
"seq42",1,0,0,0
"seq43",1,0,0,0
"seq44",2,0,0,0
"seq45",1,0,0,0
"seq46",1,0,0,0
"seq47",1,0,0,0
"seq48",1,0,0,0
"seq49",1,0,0,0
"seq5",7,0,0,0
"seq50",1,0,0,0
"seq51",1,0,0,0
"seq52",2,0,0,0
"seq53",1,0,0,0
"seq54",0,0,1,0
"seq55",2,0,0,0
"seq56",2,0,0,0
"seq57",1,0,0,0
"seq58",0,0,1,0
"seq59",1,0,0,0
"seq6",1,0,0,0
"seq60",1,0,0,0
"seq61",2,0,0,0
"seq62",1,0,0,0
"seq63",1,0,0,0
"seq64",1,0,0,0
"seq65",1,0,0,0
"seq66",2,0,0,0
"seq67",1,0,0,0
"seq68",1,0,0,0
"seq69",1,0,0,0
"seq7",1,0,0,0
"seq70",1,0,0,0
"seq71",1,0,0,0
"seq72",1,0,0,0
"seq73",1,0,0,0
"seq74",0,1,0,0
"seq75",1,0,0,0
"seq76",1,0,1,0
"seq77",1,0,0,0
"seq78",3,0,0,0
"seq79",1,0,0,0
"seq8",1,0,0,0
"seq80",0,0,0,1
"seq81",1,0,0,0
"seq82",0,0,0,1
"seq83",1,0,0,0
"seq84",1,0,0,0
"seq85",1,0,0,0
"seq86",1,0,0,0
"seq87",1,0,0,0
"seq88",1,0,0,0
"seq89",1,0,0,0
"seq9",1,0,0,0
"seq90",1,0,0,0
"seq91",1,0,0,0
"seq92",1,0,0,0
"seq93",1,0,0,0
"seq94",1,0,0,0
"seq95",1,0,0,0
"seq96",1,0,0,0
"seq97",1,0,0,0
"seq98",1,0,0,0
"seq99",1,0,0,0
