"seq_unique","Memory_Bcells","PCs","GC_B_cells"
"seq1",1,1,0
"seq10",0,0,1
"seq11",0,0,2
"seq12",0,1,0
"seq13",0,0,1
"seq14",0,0,1
"seq15",0,2,3
"seq16",0,0,1
"seq17",0,0,1
"seq18",0,1,0
"seq19",0,0,1
"seq2",0,3,9
"seq20",0,0,1
"seq21",0,0,1
"seq22",0,1,1
"seq23",0,0,2
"seq24",0,0,1
"seq25",0,0,3
"seq26",0,0,1
"seq27",0,0,1
"seq28",0,0,1
"seq29",0,0,1
"seq3",0,0,1
"seq30",0,0,2
"seq31",0,0,1
"seq32",0,0,1
"seq33",0,0,1
"seq34",0,0,1
"seq35",0,0,1
"seq36",0,0,2
"seq37",0,0,1
"seq38",0,0,1
"seq39",0,0,1
"seq4",0,0,1
"seq40",0,0,1
"seq41",0,2,0
"seq42",0,1,0
"seq43",0,0,1
"seq5",0,0,7
"seq6",0,0,2
"seq7",0,0,2
"seq8",0,0,1
"seq9",0,1,6
