"seq_unique","IGHA2","IGHA1","NA"
"seq1",7,0,0
"seq10",2,0,0
"seq11",1,0,0
"seq12",1,0,0
"seq13",2,0,0
"seq14",1,0,0
"seq15",1,0,0
"seq16",2,0,0
"seq17",1,0,0
"seq18",1,0,0
"seq19",1,0,0
"seq2",5,0,0
"seq20",1,0,0
"seq21",1,0,0
"seq22",1,0,0
"seq23",1,0,0
"seq24",1,0,0
"seq25",0,1,0
"seq26",0,1,0
"seq27",0,1,0
"seq28",0,1,0
"seq29",0,1,0
"seq3",3,0,0
"seq30",0,1,0
"seq31",0,1,0
"seq32",1,1,0
"seq33",0,1,0
"seq34",0,2,0
"seq35",0,2,0
"seq36",0,1,0
"seq37",0,1,0
"seq38",0,1,0
"seq39",1,0,0
"seq4",7,0,0
"seq40",9,2,1
"seq41",1,1,0
"seq42",1,1,0
"seq43",1,1,0
"seq44",0,2,0
"seq45",2,1,0
"seq46",1,0,0
"seq47",0,0,1
"seq5",1,0,0
"seq6",6,0,0
"seq7",1,0,0
"seq8",1,0,0
"seq9",1,0,0
