"seq_unique","HH119-SI-PP_Fol-3","HH119-SI-PP_Fol-18","HH119-SI-PP_Fol-20","HH119-SI-PP_Fol-6","HH119-SI-PP_Fol-7","HH119-SILP","HH119-SI-PP_Fol-11"
"seq1",7,0,0,0,0,0,0
"seq10",0,2,0,0,0,0,0
"seq11",0,0,1,0,0,0,0
"seq12",0,1,0,0,0,0,0
"seq13",0,2,0,0,0,0,0
"seq14",1,0,0,0,0,0,0
"seq15",1,0,0,0,0,0,0
"seq16",2,0,0,0,0,0,0
"seq17",1,0,0,0,0,0,0
"seq18",1,0,0,0,0,0,0
"seq19",1,0,0,0,0,0,0
"seq2",5,0,0,0,0,0,0
"seq20",1,0,0,0,0,0,0
"seq21",1,0,0,0,0,0,0
"seq22",1,0,0,0,0,0,0
"seq23",0,1,0,0,0,0,0
"seq24",0,1,0,0,0,0,0
"seq25",0,0,0,1,0,0,0
"seq26",0,0,0,1,0,0,0
"seq27",0,0,0,1,0,0,0
"seq28",0,0,0,1,0,0,0
"seq29",0,0,0,0,1,0,0
"seq3",3,0,0,0,0,0,0
"seq30",0,0,0,1,0,0,0
"seq31",0,0,0,0,0,1,0
"seq32",0,0,0,0,0,2,0
"seq33",0,0,0,0,0,1,0
"seq34",0,0,0,0,0,2,0
"seq35",0,0,0,0,0,2,0
"seq36",0,0,0,0,0,1,0
"seq37",0,0,0,1,0,0,0
"seq38",0,0,0,0,0,0,1
"seq39",0,0,0,0,0,1,0
"seq4",7,0,0,0,0,0,0
"seq40",0,0,0,0,0,12,0
"seq41",0,0,0,0,0,2,0
"seq42",0,0,0,0,0,2,0
"seq43",0,0,0,0,0,2,0
"seq44",0,0,0,0,0,2,0
"seq45",0,0,0,0,0,3,0
"seq46",0,0,0,0,0,1,0
"seq47",0,0,0,0,0,1,0
"seq5",1,0,0,0,0,0,0
"seq6",6,0,0,0,0,0,0
"seq7",1,0,0,0,0,0,0
"seq8",1,0,0,0,0,0,0
"seq9",1,0,0,0,0,0,0
