"seq_unique","IGHA1","IGHA2"
"seq1",1,0
"seq10",1,1
"seq11",1,0
"seq12",2,0
"seq13",1,0
"seq14",1,0
"seq15",2,0
"seq16",1,0
"seq17",1,0
"seq18",1,0
"seq19",1,0
"seq2",1,0
"seq20",1,0
"seq21",1,0
"seq22",7,0
"seq23",1,0
"seq24",1,0
"seq25",2,0
"seq26",1,0
"seq27",2,0
"seq28",0,1
"seq29",1,0
"seq3",1,0
"seq30",1,0
"seq31",1,0
"seq32",1,0
"seq33",1,0
"seq34",1,0
"seq35",1,0
"seq36",0,1
"seq37",1,0
"seq38",1,0
"seq39",1,0
"seq4",1,0
"seq40",1,0
"seq5",1,0
"seq6",1,0
"seq7",2,0
"seq8",1,0
"seq9",1,0
