"seq_unique","Memory_Bcells","GC_B_cells","PCs"
"seq1",1,0,0
"seq10",0,2,0
"seq11",1,0,0
"seq12",0,1,0
"seq13",0,1,0
"seq14",0,1,0
"seq15",0,1,0
"seq16",0,1,0
"seq17",0,1,0
"seq18",0,1,0
"seq19",0,1,0
"seq2",0,1,0
"seq20",0,1,0
"seq21",0,1,0
"seq22",1,0,0
"seq23",0,1,0
"seq24",0,2,0
"seq25",0,1,0
"seq26",0,1,0
"seq27",0,1,0
"seq28",0,1,0
"seq29",0,1,0
"seq3",0,1,0
"seq30",0,1,0
"seq31",0,1,0
"seq32",0,1,0
"seq33",0,0,8
"seq34",0,0,10
"seq35",0,0,2
"seq36",0,0,1
"seq37",0,0,1
"seq38",0,1,0
"seq39",0,0,1
"seq4",0,2,0
"seq5",0,1,0
"seq6",0,1,0
"seq7",0,1,0
"seq8",0,3,0
"seq9",0,1,0
