"seq_unique","HH119-COLP","HH119-SI-PP_Fol-29","HH119-SI-PP_Fol-10","HH119-SI-PP_Fol-4","HH119-SI-MILF","HH119-SILP","HH119-SI-PP_Fol-2","HH119-SI-PP_Fol-22","HH119-SI-PP_Fol-32","HH119-SI-PP_Fol-28","HH119-CO-SMILF","HH119-SI-PP_Fol-9"
"seq1",1,0,0,0,0,0,0,0,0,0,0,0
"seq10",0,1,0,0,0,0,0,0,0,0,0,0
"seq11",0,0,1,0,0,0,0,0,0,0,0,0
"seq12",0,0,1,0,0,0,0,0,0,0,0,0
"seq13",0,0,0,1,0,0,0,0,0,0,0,0
"seq14",0,0,0,1,0,0,0,0,0,0,0,0
"seq15",0,0,0,1,0,0,0,0,0,0,0,0
"seq16",0,0,0,1,0,0,0,0,0,0,0,0
"seq17",0,0,1,0,0,0,0,0,0,0,0,0
"seq18",0,0,1,0,0,0,0,0,0,0,0,0
"seq19",0,0,1,0,0,0,0,0,0,0,0,0
"seq2",0,0,0,0,1,1,0,0,0,0,0,0
"seq20",0,0,1,0,0,0,0,0,0,0,0,0
"seq21",0,0,0,1,0,0,0,0,0,0,0,0
"seq22",0,0,0,1,0,0,0,0,0,0,0,0
"seq23",0,0,0,0,0,0,1,0,0,0,0,0
"seq24",0,0,1,0,0,0,0,0,0,0,0,0
"seq25",0,0,0,0,0,0,1,0,0,0,0,0
"seq26",0,1,0,0,0,0,0,0,0,0,0,0
"seq27",0,1,0,0,0,0,0,0,0,0,0,0
"seq28",0,1,0,0,0,0,0,0,0,0,0,0
"seq29",0,1,0,0,0,0,0,0,0,0,0,0
"seq3",0,0,0,1,0,0,0,0,0,0,0,0
"seq30",0,1,0,0,0,0,0,0,0,0,0,0
"seq31",0,1,0,0,0,0,0,0,0,0,0,0
"seq32",0,1,0,0,0,0,0,0,0,0,0,0
"seq33",0,0,0,0,0,0,0,1,0,0,0,0
"seq34",0,1,0,0,0,0,0,0,0,0,0,0
"seq35",0,1,0,0,0,0,0,0,0,0,0,0
"seq36",0,1,0,0,0,0,0,0,0,0,0,0
"seq37",0,0,0,0,0,0,0,0,1,0,0,0
"seq38",0,1,0,0,0,0,0,0,0,0,0,0
"seq39",0,1,0,0,0,0,0,0,0,0,0,0
"seq4",0,0,0,3,0,0,0,0,0,0,0,0
"seq40",0,1,0,0,0,0,0,0,0,0,0,0
"seq41",0,1,0,0,0,0,0,0,0,0,0,0
"seq42",0,1,0,0,0,0,0,0,0,0,0,0
"seq43",0,0,0,0,0,0,0,0,0,1,0,0
"seq44",0,1,0,0,0,0,0,0,0,0,0,0
"seq45",0,1,0,0,0,0,0,0,0,0,0,0
"seq46",0,1,0,0,0,0,0,0,0,0,0,0
"seq47",0,0,0,0,0,1,0,0,0,0,0,0
"seq48",0,0,0,0,0,1,0,0,0,0,0,0
"seq49",0,0,0,0,0,0,0,0,0,0,1,0
"seq5",0,0,1,0,0,0,0,0,0,0,0,0
"seq50",0,0,0,0,0,0,0,0,0,0,0,3
"seq51",0,0,0,0,0,3,0,0,0,0,0,0
"seq6",0,0,1,0,0,0,0,0,0,0,0,0
"seq7",0,1,0,0,0,0,0,0,0,0,0,0
"seq8",0,1,0,0,0,0,0,0,0,0,0,0
"seq9",0,0,0,0,0,0,0,0,0,2,0,0
