"seq_unique","IGHG1","NA","IGHG2","IGHG3"
"seq1",4,0,0,0
"seq10",17,0,0,0
"seq100",1,0,0,0
"seq101",2,0,0,0
"seq102",1,0,0,0
"seq103",1,0,0,0
"seq104",1,0,0,0
"seq105",6,3,0,0
"seq106",1,0,0,0
"seq107",1,0,0,0
"seq108",1,0,0,0
"seq109",1,0,0,0
"seq11",8,1,0,0
"seq110",1,0,0,0
"seq111",2,0,0,0
"seq112",2,1,0,0
"seq113",1,0,0,0
"seq114",1,0,0,0
"seq115",1,0,0,0
"seq116",5,0,0,0
"seq117",1,0,0,0
"seq118",4,0,0,0
"seq119",1,0,0,0
"seq12",1,0,0,0
"seq120",2,0,0,0
"seq121",2,0,0,0
"seq122",1,0,0,0
"seq123",2,0,0,0
"seq124",3,0,0,0
"seq125",1,0,0,0
"seq126",1,0,0,0
"seq127",1,0,0,0
"seq128",2,0,0,0
"seq129",1,0,0,0
"seq13",1,0,0,0
"seq130",2,0,0,0
"seq131",2,0,0,0
"seq132",1,0,0,0
"seq133",1,0,0,0
"seq134",0,1,0,0
"seq135",2,0,0,0
"seq136",3,0,0,0
"seq137",1,0,0,0
"seq138",1,0,0,0
"seq139",1,0,0,0
"seq14",2,0,0,0
"seq140",1,0,0,0
"seq141",1,0,0,0
"seq142",1,0,0,0
"seq143",2,0,0,0
"seq144",4,0,0,0
"seq145",1,0,0,0
"seq146",3,0,0,0
"seq147",1,0,0,0
"seq148",1,0,0,0
"seq149",1,0,0,0
"seq15",1,0,0,0
"seq150",1,0,0,0
"seq151",2,0,0,0
"seq152",1,0,0,0
"seq153",1,0,0,0
"seq154",1,0,0,0
"seq155",1,0,0,0
"seq156",2,0,0,0
"seq157",1,0,0,0
"seq158",1,0,0,0
"seq159",1,0,0,0
"seq16",1,0,0,0
"seq160",1,0,0,0
"seq161",1,0,0,0
"seq162",4,0,0,0
"seq163",1,0,0,0
"seq164",1,0,0,0
"seq165",1,0,0,0
"seq166",2,1,0,0
"seq167",1,0,0,0
"seq168",1,0,0,0
"seq169",1,0,0,0
"seq17",1,0,0,0
"seq170",1,0,0,0
"seq171",1,0,0,0
"seq172",1,0,0,0
"seq173",2,0,0,0
"seq174",1,0,0,0
"seq175",1,0,0,0
"seq176",1,0,0,0
"seq177",5,0,0,0
"seq178",1,0,0,0
"seq179",1,0,0,0
"seq18",5,0,1,0
"seq180",3,0,0,0
"seq181",2,0,0,0
"seq182",1,0,0,0
"seq183",10,0,0,0
"seq184",1,0,0,0
"seq185",2,0,0,0
"seq186",3,0,0,0
"seq187",1,0,0,0
"seq188",1,0,0,0
"seq189",1,0,0,0
"seq19",1,0,0,0
"seq190",1,0,0,0
"seq191",1,0,0,0
"seq192",1,0,0,0
"seq193",2,0,0,0
"seq194",2,0,0,0
"seq195",6,0,0,0
"seq196",0,0,1,0
"seq197",1,0,0,0
"seq198",1,0,0,0
"seq199",1,0,0,0
"seq2",1,1,0,0
"seq20",2,0,0,0
"seq200",1,0,0,0
"seq201",1,0,0,0
"seq202",1,0,0,0
"seq203",2,0,0,0
"seq204",1,0,0,0
"seq205",1,0,0,0
"seq206",1,0,0,0
"seq207",1,0,0,0
"seq208",1,0,0,0
"seq209",1,0,0,0
"seq21",109,1,0,0
"seq210",1,0,0,0
"seq211",1,0,0,0
"seq212",1,0,0,0
"seq213",1,0,0,0
"seq214",1,0,0,0
"seq215",1,0,0,0
"seq216",1,0,0,0
"seq217",1,0,0,0
"seq218",2,0,0,0
"seq219",1,0,0,0
"seq22",1,0,0,0
"seq220",1,0,0,0
"seq221",2,0,0,0
"seq222",1,0,0,0
"seq223",1,0,0,0
"seq224",1,0,0,0
"seq225",1,0,0,0
"seq226",1,0,0,0
"seq227",1,0,0,0
"seq228",1,0,0,0
"seq229",3,0,0,0
"seq23",1,0,0,0
"seq230",1,0,0,0
"seq231",1,0,0,0
"seq232",1,0,0,0
"seq233",2,3,0,0
"seq234",2,1,0,0
"seq235",1,0,0,0
"seq236",1,0,0,0
"seq237",2,0,0,0
"seq238",1,0,0,0
"seq239",1,0,0,0
"seq24",7,0,0,0
"seq240",1,0,0,0
"seq241",0,1,0,0
"seq242",1,0,0,0
"seq243",1,0,0,0
"seq244",2,0,0,0
"seq245",1,0,0,0
"seq246",1,0,0,0
"seq247",1,0,0,0
"seq248",3,0,0,0
"seq249",0,1,0,0
"seq25",1,0,0,0
"seq250",1,0,0,0
"seq251",1,0,0,0
"seq252",0,1,0,0
"seq253",1,0,0,0
"seq254",2,0,0,0
"seq255",0,1,0,0
"seq256",2,0,0,0
"seq257",1,0,0,0
"seq258",1,0,0,0
"seq259",1,0,0,0
"seq26",2,0,0,0
"seq260",1,0,0,0
"seq261",2,0,0,0
"seq262",1,0,0,0
"seq263",1,0,0,0
"seq264",1,0,0,0
"seq265",1,1,0,0
"seq266",1,0,0,0
"seq267",2,0,0,0
"seq268",1,0,0,0
"seq269",1,0,0,0
"seq27",3,0,0,0
"seq270",0,0,1,0
"seq271",1,0,0,0
"seq272",2,0,0,0
"seq273",1,0,0,0
"seq274",3,0,0,0
"seq275",1,0,0,0
"seq276",1,0,0,0
"seq277",1,0,0,0
"seq278",2,0,0,0
"seq279",1,0,0,0
"seq28",2,0,0,0
"seq280",1,0,0,0
"seq281",1,0,0,0
"seq282",1,0,0,0
"seq283",1,0,0,0
"seq284",0,1,0,0
"seq285",1,0,0,0
"seq286",1,0,0,0
"seq287",1,0,0,0
"seq288",1,0,0,0
"seq289",1,0,0,0
"seq29",1,0,0,0
"seq290",2,0,0,0
"seq291",1,0,0,0
"seq292",1,0,0,0
"seq293",1,0,0,0
"seq294",1,0,0,0
"seq295",1,0,0,0
"seq296",1,0,0,0
"seq297",1,0,0,0
"seq298",1,0,0,0
"seq299",1,0,0,0
"seq3",1,0,0,0
"seq30",1,0,0,0
"seq300",1,0,0,0
"seq301",1,0,0,0
"seq302",1,0,0,0
"seq303",4,0,0,0
"seq304",1,0,0,0
"seq305",1,0,0,0
"seq306",1,0,0,0
"seq307",1,0,0,0
"seq308",1,0,0,0
"seq309",1,0,0,0
"seq31",1,0,0,0
"seq310",1,0,0,0
"seq311",1,0,0,0
"seq312",1,0,0,0
"seq313",1,0,0,0
"seq314",1,0,0,0
"seq315",1,0,0,0
"seq316",2,0,0,0
"seq317",1,0,0,0
"seq318",2,0,0,0
"seq319",1,0,0,0
"seq32",1,0,0,0
"seq320",1,0,0,0
"seq321",1,0,0,0
"seq322",1,0,0,0
"seq323",1,0,0,0
"seq324",3,0,0,0
"seq325",1,0,0,0
"seq326",1,0,0,0
"seq327",1,0,0,0
"seq328",1,0,0,0
"seq329",1,0,0,0
"seq33",1,0,0,0
"seq330",1,1,0,0
"seq331",0,0,0,1
"seq332",1,0,0,0
"seq333",1,0,0,0
"seq334",1,0,0,0
"seq335",1,0,0,0
"seq336",1,0,1,0
"seq337",1,0,0,0
"seq338",1,0,0,0
"seq339",1,0,0,0
"seq34",1,0,0,0
"seq340",1,0,0,0
"seq341",1,0,0,0
"seq342",1,0,0,0
"seq343",1,0,0,0
"seq344",1,0,0,0
"seq345",2,0,0,0
"seq346",1,0,0,0
"seq347",2,0,0,0
"seq348",1,0,0,0
"seq349",1,0,0,0
"seq35",1,0,0,0
"seq350",1,0,0,0
"seq351",1,0,0,0
"seq352",1,0,0,0
"seq353",1,0,0,0
"seq354",1,0,0,0
"seq355",1,0,0,0
"seq356",1,0,0,0
"seq357",1,0,0,0
"seq358",1,0,0,0
"seq359",1,0,0,0
"seq36",1,0,0,0
"seq360",0,0,1,0
"seq361",1,0,0,0
"seq362",1,0,0,0
"seq363",1,1,0,0
"seq364",1,0,0,0
"seq365",1,0,0,0
"seq366",1,0,0,0
"seq367",1,0,0,0
"seq368",1,0,0,0
"seq369",1,0,0,0
"seq37",6,0,0,0
"seq370",2,0,0,0
"seq371",1,0,0,0
"seq372",1,0,0,0
"seq373",1,0,0,0
"seq374",1,0,0,0
"seq375",1,0,0,0
"seq376",1,0,0,0
"seq377",1,0,0,0
"seq378",1,0,0,0
"seq379",3,0,0,0
"seq38",15,0,0,0
"seq380",1,0,0,0
"seq381",1,0,0,0
"seq382",1,0,0,0
"seq383",1,0,0,0
"seq384",1,0,0,0
"seq385",1,0,0,0
"seq386",1,0,0,0
"seq387",1,0,0,0
"seq388",1,0,0,0
"seq389",1,0,0,0
"seq39",1,0,0,0
"seq390",1,0,0,0
"seq391",1,0,0,0
"seq392",1,0,0,0
"seq393",1,0,0,0
"seq394",1,0,0,0
"seq395",1,0,0,0
"seq396",1,0,0,0
"seq397",1,0,0,0
"seq398",1,0,0,0
"seq399",1,0,0,0
"seq4",4,0,0,0
"seq40",3,0,0,0
"seq400",1,0,0,0
"seq401",1,0,0,0
"seq402",1,0,0,0
"seq403",1,0,0,0
"seq404",1,0,0,0
"seq405",1,0,0,0
"seq406",2,0,0,0
"seq407",1,0,0,0
"seq408",0,1,0,0
"seq409",0,1,0,0
"seq41",2,0,0,0
"seq410",1,1,0,0
"seq411",1,0,0,0
"seq412",1,0,0,0
"seq413",1,0,0,0
"seq414",1,0,0,0
"seq415",1,0,0,0
"seq416",1,0,0,0
"seq417",1,0,0,0
"seq418",1,0,0,1
"seq419",1,0,0,0
"seq42",6,0,0,0
"seq420",1,0,0,0
"seq421",1,0,0,0
"seq422",1,0,0,0
"seq423",1,0,0,0
"seq424",1,0,0,0
"seq425",1,0,0,0
