"seq_unique","IGHA1","NA"
"seq1",21,0
"seq10",1,0
"seq11",2,0
"seq12",7,0
"seq13",8,0
"seq14",1,0
"seq15",5,0
"seq16",6,0
"seq17",2,0
"seq18",1,0
"seq19",3,0
"seq2",72,0
"seq20",1,1
"seq21",2,0
"seq22",1,0
"seq23",1,0
"seq24",1,0
"seq25",1,0
"seq26",2,0
"seq27",1,0
"seq28",1,0
"seq29",1,0
"seq3",6,0
"seq30",6,0
"seq31",1,0
"seq32",1,0
"seq33",1,0
"seq34",1,0
"seq35",1,0
"seq36",1,0
"seq37",1,0
"seq38",1,0
"seq39",1,0
"seq4",9,0
"seq40",1,0
"seq41",1,0
"seq42",2,0
"seq43",1,0
"seq5",1,0
"seq6",6,0
"seq7",1,0
"seq8",1,0
"seq9",1,0
