"seq_unique","IGHA1","IGHA2"
"seq1",2,0
"seq10",1,0
"seq11",2,0
"seq12",1,0
"seq13",1,0
"seq14",1,0
"seq15",5,0
"seq16",1,0
"seq17",1,0
"seq18",1,0
"seq19",1,0
"seq2",12,0
"seq20",1,0
"seq21",1,0
"seq22",2,0
"seq23",2,0
"seq24",1,0
"seq25",3,0
"seq26",1,0
"seq27",1,0
"seq28",1,0
"seq29",1,0
"seq3",1,0
"seq30",2,0
"seq31",1,0
"seq32",1,0
"seq33",1,0
"seq34",1,0
"seq35",1,0
"seq36",2,0
"seq37",1,0
"seq38",1,0
"seq39",1,0
"seq4",1,0
"seq40",1,0
"seq41",1,1
"seq42",1,0
"seq5",7,0
"seq6",2,0
"seq7",2,0
"seq8",1,0
"seq9",7,0
