"seq_unique","IGHG1","IGHG2","IGHG3"
"seq1",1,0,0
"seq10",0,1,0
"seq11",1,0,0
"seq12",2,0,0
"seq13",1,0,0
"seq14",1,0,0
"seq15",1,0,0
"seq16",1,0,0
"seq17",1,0,0
"seq18",4,0,0
"seq19",1,0,0
"seq2",11,0,0
"seq20",1,0,0
"seq21",2,0,0
"seq22",1,0,0
"seq23",1,0,0
"seq24",1,0,0
"seq25",1,0,0
"seq26",1,0,0
"seq27",1,0,0
"seq28",1,0,0
"seq29",1,0,0
"seq3",1,0,0
"seq30",1,0,0
"seq31",1,0,0
"seq32",3,0,0
"seq33",1,0,0
"seq34",1,0,0
"seq35",1,0,0
"seq36",1,0,0
"seq37",1,0,0
"seq38",0,0,1
"seq4",2,0,0
"seq5",5,0,0
"seq6",3,0,0
"seq7",1,0,1
"seq8",1,0,0
"seq9",1,0,0
