"seq_unique","HH119-SI-PP_Fol-16","HH119-SI-PP_Fol-29","HH119-SI-PP_Fol-21","HH119-SI-PP_Fol-20"
"seq1",5,0,0,0
"seq10",0,1,0,0
"seq11",0,1,0,0
"seq12",0,5,0,0
"seq13",0,2,0,0
"seq14",0,1,0,0
"seq15",0,3,0,0
"seq16",0,2,0,0
"seq17",0,1,0,0
"seq18",0,1,0,0
"seq19",0,1,1,0
"seq2",0,0,0,2
"seq20",0,1,0,0
"seq21",0,1,0,0
"seq22",0,1,0,0
"seq23",0,1,0,0
"seq24",0,1,0,0
"seq25",0,1,0,0
"seq26",0,1,0,0
"seq27",0,1,0,0
"seq28",0,1,0,0
"seq29",0,1,0,0
"seq3",0,5,0,0
"seq30",0,1,0,0
"seq31",0,1,0,0
"seq32",1,0,0,0
"seq4",0,1,0,0
"seq5",0,1,0,0
"seq6",0,1,0,0
"seq7",0,1,0,0
"seq8",0,1,0,0
"seq9",0,1,0,0
