SampleID,SamplePrefix
BCR-HH117-SILP-nonINF-PC,BCR-HH117-SILP-nonINF-PC_S6
BCR-HH117-SILP-INF-PC,BCR-HH117-SILP-INF-PC_S7
BCR-HH117-SI-PP-nonINF-HLADR-AND-CD19-AND-GC-AND-TFH,BCR-HH117-SI-PP-nonINF-HLADR-AND-CD19-AND-GC-AND-TFH_S8
BCR-HH117-SI-MILF-nonINF-HLADR-AND-CD19,BCR-HH117-SI-MILF-nonINF-HLADR-AND-CD19_S9
BCR-HH117-SI-MILF-INF-HLADR-AND-CD19,BCR-HH117-SI-MILF-INF-HLADR-AND-CD19_S10
BCR-HH119-SILP-PC,BCR-HH119-SILP-PC_S21
BCR-HH119-COLP-PC,BCR-HH119-COLP-PC_S22
BCR-HH119-SI-MILF-CD19-AND-GC-AND-PB-AND-TFH,BCR-HH119-SI-MILF-CD19-AND-GC-AND-PB-AND-TFH_S23
BCR-HH119-CO-SMILF-CD19-AND-GC-AND-PB-AND-TFH,BCR-HH119-CO-SMILF-CD19-AND-GC-AND-PB-AND-TFH_S24
BCR-HH119-SI-PP-CD19-Pool1,BCR-HH119-SI-PP-CD19-Pool1_S25
BCR-HH119-SI-PP-GC-AND-PB-AND-TFH-Pool1,BCR-HH119-SI-PP-GC-AND-PB-AND-TFH-Pool1_S26
BCR-HH119-SI-PP-CD19-Pool2,BCR-HH119-SI-PP-CD19-Pool2_S27
BCR-HH119-SI-PP-GC-AND-PB-AND-TFH-Pool2,BCR-HH119-SI-PP-GC-AND-PB-AND-TFH-Pool2_S28
