seq_unique,seq_name,L1_annotation,c_call_grouped,sample_clean_fol,L1_annotation_int,c_call_grouped_int,sample_clean_fol_int
seq1,sequence_1:sequence_16:sequence_29:sequence_37:sequence_42,Memory_Bcells:PCs,IGHA1,HH117-SI-MILF-nonINF:HH117-SILP-INF:HH117-SILP-nonINF,2,1,6
seq10,sequence_14:sequence_35,PCs,IGHA2,HH117-SILP-INF,3,2,1
seq11,sequence_15,PCs,IGHA1,HH117-SILP-INF,3,1,1
seq12,sequence_17,PCs,IGHA2,HH117-SILP-INF,3,2,1
seq13,sequence_18,PCs,IGHA1,HH117-SILP-INF,3,1,1
seq14,sequence_20,PCs,IGHA1,HH117-SILP-INF,3,1,1
seq15,sequence_21:sequence_39:sequence_43,PCs,IGHA2,HH117-SILP-INF:HH117-SILP-nonINF,3,2,2
seq16,sequence_25:sequence_30,PCs,IGHA1,HH117-SILP-INF,3,1,1
seq17,sequence_26,PCs,IGHA1,HH117-SILP-INF,3,1,1
seq18,sequence_28,PCs,IGHA1,HH117-SILP-INF,3,1,1
seq19,sequence_44,PCs,IGHA1,HH117-SILP-nonINF,3,1,3
seq2,sequence_2,Memory_Bcells,IGHA1,HH117-SI-MILF-nonINF,1,1,4
seq3,sequence_3:sequence_10:sequence_13:sequence_36:sequence_38:sequence_40:sequence_41,Memory_Bcells:PCs,IGHA1,HH117-SI-MILF-nonINF:HH117-SILP-INF:HH117-SILP-nonINF,2,1,6
seq4,sequence_4:sequence_11:sequence_22:sequence_23:sequence_24:sequence_32:sequence_34,Memory_Bcells:PCs,IGHA1,HH117-SI-MILF-nonINF:HH117-SILP-INF,2,1,5
seq5,sequence_5:sequence_31,PCs,IGHA1,HH117-SILP-INF,3,1,1
seq6,sequence_6:sequence_8:sequence_19:sequence_27:sequence_33,PCs,IGHA2,HH117-SILP-INF,3,2,1
seq7,sequence_7,PCs,IGHA1,HH117-SILP-INF,3,1,1
seq8,sequence_9,PCs,IGHA2,HH117-SILP-INF,3,2,1
seq9,sequence_12,PCs,IGHA1,HH117-SILP-INF,3,1,1
