seq_unique,seq_name,L1_annotation,c_call_grouped,sample_clean_fol,L1_annotation_int,c_call_grouped_int,sample_clean_fol_int
seq1,sequence_1:sequence_3:sequence_5:sequence_8:sequence_11:sequence_13:sequence_19:sequence_20:sequence_25:sequence_26:sequence_27:sequence_30:sequence_31:sequence_32:sequence_34:sequence_35:sequence_36:sequence_37:sequence_38:sequence_39:sequence_42:sequence_46:sequence_47:sequence_51:sequence_52:sequence_53:sequence_54:sequence_55:sequence_56:sequence_57:sequence_59:sequence_60:sequence_65:sequence_66:sequence_73:sequence_75:sequence_76:sequence_81:sequence_92:sequence_94:sequence_96,PCs,IGHA1:IGHA2,HH117-SI-MILF-INF:HH117-SI-MILF-nonINF:HH117-SILP-INF:HH117-SILP-nonINF,1,2,5
seq10,sequence_21:sequence_77:sequence_78:sequence_79:sequence_91,PCs,IGHA1:IGHA2,HH117-SILP-nonINF,1,2,3
seq11,sequence_44:sequence_97,PCs,IGHA1,HH117-SILP-INF:HH117-SILP-nonINF,1,1,2
seq12,sequence_48:sequence_64,PCs,IGHA1,HH117-SILP-INF:HH117-SILP-nonINF,1,1,2
seq13,sequence_50,PCs,IGHA1,HH117-SILP-INF,1,1,1
seq14,sequence_58:sequence_85:sequence_87,PCs,IGHA1,HH117-SILP-nonINF,1,1,3
seq15,sequence_62:sequence_63:sequence_68:sequence_69:sequence_71:sequence_90,PCs,IGHA1,HH117-SILP-nonINF,1,1,3
seq16,sequence_67,PCs,IGHA1,HH117-SILP-nonINF,1,1,3
seq17,sequence_74:sequence_83:sequence_84:sequence_88:sequence_89,PCs,IGHA1,HH117-SILP-nonINF,1,1,3
seq18,sequence_82,PCs,IGHA1,HH117-SILP-nonINF,1,1,3
seq19,sequence_95,PCs,IGHA1,HH117-SILP-nonINF,1,1,3
seq2,sequence_2:sequence_23:sequence_61:sequence_72:sequence_80:sequence_86,PCs,IGHA1,HH117-SI-MILF-INF:HH117-SILP-nonINF,1,1,4
seq3,sequence_4:sequence_70:sequence_93,PCs,IGHA1,HH117-SI-MILF-INF:HH117-SILP-nonINF,1,1,4
seq4,sequence_6,PCs,IGHA1,HH117-SILP-INF,1,1,1
seq5,sequence_7:sequence_33:sequence_40,PCs,IGHA1,HH117-SILP-INF,1,1,1
seq6,sequence_9:sequence_14:sequence_15:sequence_16:sequence_17:sequence_22:sequence_29:sequence_43:sequence_45,PCs,IGHA1,HH117-SILP-INF:HH117-SILP-nonINF,1,1,2
seq7,sequence_10:sequence_28,PCs,IGHA1,HH117-SILP-INF,1,1,1
seq8,sequence_12:sequence_24:sequence_41:sequence_49,PCs,IGHA1,HH117-SILP-INF:HH117-SILP-nonINF,1,1,2
seq9,sequence_18,PCs,IGHA1,HH117-SILP-INF,1,1,1
