seq_unique,seq_name,L1_annotation,c_call_grouped,sample_clean_fol,L1_annotation_int,c_call_grouped_int,sample_clean_fol_int
seq1,sequence_1:sequence_14:sequence_37:sequence_46:sequence_54:sequence_58:sequence_59,PCs,IGHA2:IGHA1:NA,HH119-SI-MILF:HH119-SILP,4,7,3
seq10,sequence_13,PCs,IGHA1,HH119-SILP,4,1,1
seq11,sequence_15:sequence_30:sequence_32:sequence_36:sequence_48,PCs,NA:IGHA1:IGHA2,HH119-SILP,4,10,1
seq12,sequence_17,PCs,IGHA1,HH119-SILP,4,1,1
seq13,sequence_18:sequence_22:sequence_42,PCs,IGHA1:NA,HH119-SILP,4,4,1
seq14,sequence_20:sequence_39:sequence_57,PCs,IGHA1:IGHA2:NA,HH119-SILP,4,3,1
seq15,sequence_21,PCs,NA,HH119-SILP,4,8,1
seq16,sequence_23:sequence_26:sequence_56,PCs,IGHA2,HH119-SILP,4,5,1
seq17,sequence_27,PCs,NA,HH119-SILP,4,8,1
seq18,sequence_29,PCs,IGHA1,HH119-SILP,4,1,1
seq19,sequence_31,PCs,NA,HH119-SILP,4,8,1
seq2,sequence_2,Memory_Bcells,IGHA2,HH119-SI-MILF,2,5,2
seq20,sequence_33,PCs,IGHA1,HH119-SILP,4,1,1
seq21,sequence_34:sequence_38,PCs,NA:IGHA2,HH119-SILP,4,11,1
seq22,sequence_35,PCs,NA,HH119-SILP,4,8,1
seq23,sequence_40:sequence_41:sequence_50,PCs,NA:IGHA1,HH119-SILP,4,9,1
seq24,sequence_44,PCs,IGHA1,HH119-SILP,4,1,1
seq25,sequence_47:sequence_55,PCs,IGHA1:IGHA2,HH119-SILP,4,2,1
seq26,sequence_49,PCs,NA,HH119-SILP,4,8,1
seq27,sequence_51,PCs,NA,HH119-SILP,4,8,1
seq3,sequence_3,Memory_Bcells,IGHA2,HH119-SI-MILF,2,5,2
seq4,sequence_4:sequence_24,PCs,IGHA2,HH119-SI-MILF:HH119-SILP,4,5,3
seq5,sequence_5:sequence_6:sequence_7:sequence_8:sequence_16:sequence_19:sequence_25:sequence_53:sequence_60,Memory_Bcells:PCs,IGHA2:IGHA1,HH119-SI-PP_Fol-3:HH119-SI-PP_Fol-26:HH119-SI-PP_Fol-23:HH119-SI-PP_Fol-14:HH119-SILP,3,6,5
seq6,sequence_9,GC_B_cells,IGHA2,HH119-SI-PP_Fol-30,1,5,4
seq7,sequence_10,PCs,IGHA2,HH119-SILP,4,5,1
seq8,sequence_11,PCs,IGHA1,HH119-SILP,4,1,1
seq9,sequence_12:sequence_28:sequence_43:sequence_45:sequence_52,PCs,NA:IGHA2:IGHA1,HH119-SILP,4,12,1
