"seq_unique","HH119-SI-MILF","HH119-SILP","HH119-SI-PP_Fol-14","HH119-SI-PP_Fol-23","HH119-SI-PP_Fol-26","HH119-SI-PP_Fol-3","HH119-SI-PP_Fol-30"
"seq1",1,6,0,0,0,0,0
"seq10",0,1,0,0,0,0,0
"seq11",0,5,0,0,0,0,0
"seq12",0,1,0,0,0,0,0
"seq13",0,3,0,0,0,0,0
"seq14",0,3,0,0,0,0,0
"seq15",0,1,0,0,0,0,0
"seq16",0,3,0,0,0,0,0
"seq17",0,1,0,0,0,0,0
"seq18",0,1,0,0,0,0,0
"seq19",0,1,0,0,0,0,0
"seq2",1,0,0,0,0,0,0
"seq20",0,1,0,0,0,0,0
"seq21",0,2,0,0,0,0,0
"seq22",0,1,0,0,0,0,0
"seq23",0,3,0,0,0,0,0
"seq24",0,1,0,0,0,0,0
"seq25",0,2,0,0,0,0,0
"seq26",0,1,0,0,0,0,0
"seq27",0,1,0,0,0,0,0
"seq3",1,0,0,0,0,0,0
"seq4",1,1,0,0,0,0,0
"seq5",0,5,1,1,1,1,0
"seq6",0,0,0,0,0,0,1
"seq7",0,1,0,0,0,0,0
"seq8",0,1,0,0,0,0,0
"seq9",0,5,0,0,0,0,0
