"seq_unique","HH119-SI-MILF","HH119-SILP","HH119-SI-PP_Fol-30","HH119-SI-PP_Fol-12"
"seq1",1,3,0,0
"seq10",0,3,0,0
"seq11",0,1,0,0
"seq12",0,1,0,0
"seq13",0,1,0,0
"seq14",0,1,0,0
"seq15",0,1,0,0
"seq16",0,1,0,0
"seq17",0,1,0,0
"seq18",0,1,0,0
"seq19",0,1,0,0
"seq2",1,3,0,0
"seq20",0,1,0,0
"seq21",0,1,0,0
"seq22",0,1,0,0
"seq23",1,1,0,0
"seq24",0,4,0,0
"seq25",0,0,1,0
"seq26",0,1,0,0
"seq27",0,1,0,0
"seq28",0,3,0,0
"seq29",0,1,0,0
"seq3",0,55,0,0
"seq30",0,0,0,1
"seq31",0,1,0,0
"seq32",0,1,0,0
"seq4",0,5,0,0
"seq5",0,3,0,0
"seq6",0,2,0,0
"seq7",0,8,0,0
"seq8",0,3,0,0
"seq9",0,8,0,0
