"seq_unique","Memory_Bcells","PCs"
"seq1",1,0
"seq10",0,1
"seq11",0,1
"seq12",0,4
"seq13",0,2
"seq14",0,1
"seq15",0,1
"seq16",0,1
"seq17",0,1
"seq18",0,1
"seq19",0,1
"seq2",0,2
"seq20",0,1
"seq21",0,2
"seq22",0,1
"seq23",0,1
"seq24",0,1
"seq25",0,1
"seq26",0,1
"seq27",0,1
"seq28",1,0
"seq29",0,1
"seq3",1,0
"seq30",1,1
"seq31",1,0
"seq32",1,0
"seq33",0,1
"seq34",0,1
"seq35",1,0
"seq36",1,1
"seq37",1,0
"seq38",0,1
"seq39",0,1
"seq4",1,4
"seq40",0,1
"seq5",0,23
"seq6",0,1
"seq7",0,3
"seq8",0,3
"seq9",0,5
