"seq_unique","IGHA2","IGHA1"
"seq1",1,0
"seq10",0,1
"seq11",1,0
"seq12",4,0
"seq13",2,0
"seq14",1,0
"seq15",0,1
"seq16",1,0
"seq17",0,1
"seq18",1,0
"seq19",1,0
"seq2",2,0
"seq20",1,0
"seq21",2,0
"seq22",0,1
"seq23",1,0
"seq24",1,0
"seq25",0,1
"seq26",0,1
"seq27",0,1
"seq28",0,1
"seq29",1,0
"seq3",1,0
"seq30",2,0
"seq31",0,1
"seq32",0,1
"seq33",0,1
"seq34",0,1
"seq35",1,0
"seq36",2,0
"seq37",1,0
"seq38",1,0
"seq39",0,1
"seq4",5,0
"seq40",1,0
"seq5",21,2
"seq6",1,0
"seq7",0,3
"seq8",3,0
"seq9",5,0
