seq_unique,seq_name,L1_annotation,c_call,sample_clean_fol,L1_annotation_int,c_call_int,sample_clean_fol_int
seq1,sequence_1,GC_B_cells,IGHG1,HH119-CO-SMILF,1,6,1
seq10,sequence_11:sequence_12:sequence_215:sequence_271:sequence_343:sequence_465:sequence_502:sequence_509:sequence_517,GC_B_cells,IGHG1:NA,HH119-SI-MILF,1,12,4
seq100,sequence_121,GC_B_cells,IGHG1,HH119-SI-MILF,1,6,4
seq1000,sequence_1751,GC_B_cells,IGHG1,HH119-SI-PP_Fol-22,1,6,57
seq1001,sequence_1752,GC_B_cells,IGHG1,HH119-SI-PP_Fol-22,1,6,57
seq1002,sequence_1754:sequence_5843,GC_B_cells,IGHG1,HH119-SI-PP_Fol-22,1,6,57
seq1003,sequence_1755,GC_B_cells,IGHG1,HH119-SI-PP_Fol-24,1,6,72
seq1004,sequence_1756,GC_B_cells,IGHG1,HH119-SI-PP_Fol-22,1,6,57
seq1005,sequence_1757:sequence_2184:sequence_2359:sequence_4520:sequence_4530:sequence_4743:sequence_4969:sequence_5323:sequence_5983:sequence_6271,GC_B_cells,IGHG1:NA,HH119-SI-PP_Fol-22:HH119-SI-PP_Fol-27,1,12,64
seq1006,sequence_1758,GC_B_cells,IGHG1,HH119-SI-PP_Fol-22,1,6,57
seq1007,sequence_1760:sequence_4542:sequence_5925,GC_B_cells,IGHG1:NA,HH119-SI-PP_Fol-22,1,12,57
seq1008,sequence_1762,GC_B_cells,IGHG1,HH119-SI-PP_Fol-31,1,6,85
seq1009,sequence_1764,GC_B_cells,IGHG1,HH119-SI-PP_Fol-22,1,6,57
seq101,sequence_122,GC_B_cells,IGHG1,HH119-SI-MILF,1,6,4
seq1010,sequence_1765,GC_B_cells,IGHG1,HH119-SI-PP_Fol-28,1,6,79
seq1011,sequence_1766:sequence_2307,GC_B_cells,IGHG1,HH119-SI-PP_Fol-22,1,6,57
seq1012,sequence_1767,GC_B_cells,IGHG1,HH119-SI-PP_Fol-28,1,6,79
seq1013,sequence_1768:sequence_1806:sequence_1982:sequence_2096:sequence_2262:sequence_2337:sequence_2356:sequence_2474:sequence_2553:sequence_2586:sequence_4355:sequence_4382:sequence_4403:sequence_4823:sequence_5124:sequence_5133:sequence_5342:sequence_5544:sequence_5583:sequence_5661:sequence_5743:sequence_6352:sequence_6399,GC_B_cells,IGHG1,HH119-SI-PP_Fol-28,1,6,79
seq1014,sequence_1770:sequence_2310:sequence_4962:sequence_6089:sequence_6096,GC_B_cells,IGHG1,HH119-SI-PP_Fol-22,1,6,57
seq1015,sequence_1771,GC_B_cells,IGHG1,HH119-SI-PP_Fol-22,1,6,57
seq1016,sequence_1772,GC_B_cells,IGHG1,HH119-SI-PP_Fol-22,1,6,57
seq1017,sequence_1773,GC_B_cells,IGHG1,HH119-SI-PP_Fol-28,1,6,79
seq1018,sequence_1774,GC_B_cells,IGHG1,HH119-SI-PP_Fol-28,1,6,79
seq1019,sequence_1776,GC_B_cells,IGHG1,HH119-SI-PP_Fol-28,1,6,79
seq102,sequence_123:sequence_469:sequence_495:sequence_586:sequence_641,PCs:GC_B_cells,IGHG1,HH119-SI-MILF,11,6,4
seq1020,sequence_1777,GC_B_cells,IGHG1,HH119-SI-PP_Fol-28,1,6,79
seq1021,sequence_1778,GC_B_cells,IGHG1,HH119-SI-PP_Fol-22,1,6,57
seq1022,sequence_1779:sequence_4760:sequence_5134,GC_B_cells,IGHG1,HH119-SI-PP_Fol-22,1,6,57
seq1023,sequence_1781,GC_B_cells,IGHG1,HH119-SI-PP_Fol-28,1,6,79
seq1024,sequence_1788,GC_B_cells,IGHG1,HH119-SI-PP_Fol-28,1,6,79
seq1025,sequence_1789:sequence_5512:sequence_5572:sequence_6367,GC_B_cells,IGHG1,HH119-SI-PP_Fol-22,1,6,57
seq1026,sequence_1790,GC_B_cells,IGHG1,HH119-SI-PP_Fol-22,1,6,57
seq1027,sequence_1791:sequence_2177:sequence_2468:sequence_4428:sequence_4695:sequence_4736:sequence_4793:sequence_4799:sequence_4813:sequence_5015:sequence_5164:sequence_5228:sequence_5502:sequence_5779:sequence_6185:sequence_6412:sequence_6423,GC_B_cells,IGHG1:NA,HH119-SI-PP_Fol-22:HH119-SI-PP_Fol-25:HH119-SI-PP_Fol-31,1,12,62
seq1028,sequence_1792:sequence_1992:sequence_2521:sequence_4401:sequence_4947:sequence_5018:sequence_5047:sequence_5114:sequence_5375,GC_B_cells,IGHG1:NA,HH119-SI-PP_Fol-22,1,12,57
seq1029,sequence_1793,GC_B_cells,IGHG1,HH119-SI-PP_Fol-28,1,6,79
seq103,sequence_124:sequence_688:sequence_717,GC_B_cells,IGHM,HH119-SI-MILF,1,24,4
seq1030,sequence_1795,GC_B_cells,IGHG1,HH119-SI-PP_Fol-28,1,6,79
seq1031,sequence_1796,GC_B_cells,IGHG1,HH119-SI-PP_Fol-28,1,6,79
seq1032,sequence_1797:sequence_5458:sequence_5937,GC_B_cells,IGHG1,HH119-SI-PP_Fol-22,1,6,57
seq1033,sequence_1798,GC_B_cells,IGHG1,HH119-SI-PP_Fol-22,1,6,57
seq1034,sequence_1800,GC_B_cells,IGHG1,HH119-SI-PP_Fol-28,1,6,79
seq1035,sequence_1801,GC_B_cells,IGHG1,HH119-SI-PP_Fol-22,1,6,57
seq1036,sequence_1802,GC_B_cells,IGHG1,HH119-SI-PP_Fol-22,1,6,57
seq1037,sequence_1804,GC_B_cells,IGHG1,HH119-SI-PP_Fol-22,1,6,57
seq1038,sequence_1809,GC_B_cells,IGHG1,HH119-SI-PP_Fol-22,1,6,57
seq1039,sequence_1810,GC_B_cells,IGHG1,HH119-SI-PP_Fol-22,1,6,57
seq104,sequence_126,GC_B_cells,IGHG3,HH119-SI-MILF,1,20,4
seq1040,sequence_1811:sequence_1913:sequence_2567:sequence_5120:sequence_5945:sequence_6416,GC_B_cells,IGHG1,HH119-SI-PP_Fol-22,1,6,57
seq1041,sequence_1817,GC_B_cells,IGHG1,HH119-SI-PP_Fol-22,1,6,57
seq1042,sequence_1818,GC_B_cells,IGHG1,HH119-SI-PP_Fol-22,1,6,57
seq1043,sequence_1820,GC_B_cells,IGHG1,HH119-SI-PP_Fol-27,1,6,78
seq1044,sequence_1823:sequence_5058:sequence_5935,GC_B_cells,IGHG1,HH119-SI-PP_Fol-28,1,6,79
