"seq_unique","PCs","NA"
"seq1",1,0
"seq10",2,7
"seq100",0,1
"seq1000",0,1
"seq1001",0,1
"seq1002",0,2
"seq1003",0,1
"seq1004",0,1
"seq1005",0,10
"seq1006",0,1
"seq1007",0,3
"seq1008",0,1
"seq1009",0,1
"seq101",0,1
"seq1010",0,1
"seq1011",0,2
"seq1012",0,1
"seq1013",0,23
"seq1014",0,5
"seq1015",0,1
"seq1016",0,1
"seq1017",0,1
"seq1018",0,1
"seq1019",0,1
"seq102",0,5
"seq1020",0,1
"seq1021",0,1
"seq1022",0,3
"seq1023",0,1
"seq1024",0,1
"seq1025",0,4
"seq1026",0,1
"seq1027",0,17
"seq1028",0,9
"seq1029",0,1
"seq103",0,3
"seq1030",0,1
"seq1031",0,1
"seq1032",0,3
"seq1033",0,1
"seq1034",0,1
"seq1035",0,1
"seq1036",0,1
"seq1037",0,1
"seq1038",0,1
"seq1039",0,1
"seq104",0,1
"seq1040",0,6
"seq1041",0,1
"seq1042",0,1
"seq1043",0,1
"seq1044",0,3
"seq1045",0,1
"seq1046",0,5
"seq1047",0,3
"seq1048",0,2
"seq1049",0,1
"seq105",0,1
"seq1050",0,1
"seq1051",0,3
"seq1052",0,1
"seq1053",0,1
"seq1054",0,1
"seq1055",0,1
"seq1056",0,2
"seq1057",0,1
"seq1058",0,1
"seq1059",0,1
"seq106",0,3
"seq1060",0,1
"seq1061",0,7
"seq1062",0,1
"seq1063",0,1
"seq1064",0,1
"seq1065",0,26
"seq1066",0,2
"seq1067",0,11
"seq1068",0,1
"seq1069",0,3
"seq107",0,2
"seq1070",0,1
"seq1071",0,12
"seq1072",0,1
"seq1073",0,1
"seq1074",0,1
"seq1075",0,1
"seq1076",0,2
"seq1077",0,1
"seq1078",0,1
"seq1079",0,2
"seq108",0,5
"seq1080",0,14
"seq1081",0,3
"seq1082",0,1
"seq1083",0,1
"seq1084",0,1
"seq1085",0,1
"seq1086",0,1
"seq1087",0,1
"seq1088",0,3
"seq1089",0,1
"seq109",0,1
"seq1090",0,1
"seq1091",0,2
"seq1092",0,3
"seq1093",0,1
"seq1094",0,10
"seq1095",0,1
"seq1096",0,3
"seq1097",0,1
"seq1098",0,1
"seq1099",0,1
"seq11",1,0
"seq110",0,1
"seq1100",0,1
"seq1101",0,1
"seq1102",0,1
"seq1103",0,1
"seq1104",0,2
"seq1105",0,6
"seq1106",0,2
"seq1107",0,1
"seq1108",0,6
"seq1109",0,1
"seq111",0,1
"seq1110",0,1
"seq1111",0,1
"seq1112",0,1
"seq1113",0,5
"seq1114",0,2
"seq1115",0,1
"seq1116",0,1
"seq1117",0,1
"seq1118",0,1
"seq1119",0,1
"seq112",0,1
"seq1120",0,1
"seq1121",0,2
"seq1122",0,2
"seq1123",0,1
"seq1124",0,1
"seq1125",0,1
"seq1126",0,1
"seq1127",0,1
"seq1128",0,1
"seq1129",0,3
"seq113",0,3
"seq1130",0,1
"seq1131",0,1
"seq1132",0,1
"seq1133",0,1
"seq1134",0,1
"seq1135",0,1
"seq1136",0,3
"seq1137",0,5
"seq1138",0,1
"seq1139",0,1
"seq114",0,1
"seq1140",0,1
"seq1141",0,8
"seq1142",0,1
"seq1143",0,1
"seq1144",0,1
"seq1145",0,2
"seq1146",0,1
"seq1147",0,1
"seq1148",0,1
"seq1149",0,6
"seq115",0,1
"seq1150",0,3
"seq1151",0,2
"seq1152",0,1
"seq1153",0,1
"seq1154",0,1
"seq1155",0,2
"seq1156",0,2
"seq1157",0,1
"seq1158",0,1
"seq1159",0,1
"seq116",0,1
"seq1160",0,1
"seq1161",0,2
"seq1162",0,1
"seq1163",0,1
"seq1164",0,2
"seq1165",0,1
"seq1166",0,1
"seq1167",0,3
"seq1168",0,1
"seq1169",0,1
"seq117",0,1
"seq1170",0,1
"seq1171",0,1
"seq1172",0,1
"seq1173",0,8
"seq1174",0,1
"seq1175",0,1
"seq1176",0,1
"seq1177",0,1
"seq1178",0,1
"seq1179",0,1
"seq118",0,1
"seq1180",0,1
"seq1181",0,1
"seq1182",0,1
"seq1183",0,1
"seq1184",0,1
"seq1185",0,3
"seq1186",0,1
"seq1187",0,2
"seq1188",0,7
"seq1189",0,1
"seq119",0,1
"seq1190",0,1
"seq1191",0,1
"seq1192",0,1
"seq1193",0,1
"seq1194",0,1
"seq1195",0,1
"seq1196",0,1
"seq1197",0,1
"seq1198",0,1
"seq1199",0,10
"seq12",1,1
"seq120",0,1
"seq1200",0,5
"seq1201",0,1
"seq1202",0,1
"seq1203",0,1
"seq1204",0,1
"seq1205",0,4
"seq1206",0,2
"seq1207",0,3
"seq1208",0,1
"seq1209",0,1
"seq121",0,1
"seq1210",0,1
"seq1211",0,1
"seq1212",0,1
"seq1213",0,1
"seq1214",0,1
"seq1215",0,1
"seq1216",0,1
"seq1217",0,2
"seq1218",0,2
"seq1219",0,1
"seq122",0,2
"seq1220",0,1
"seq1221",0,1
"seq1222",0,2
"seq1223",0,8
"seq1224",0,3
"seq1225",0,2
"seq1226",0,1
"seq1227",0,1
"seq1228",0,1
"seq1229",0,5
"seq123",0,1
"seq1230",0,1
"seq1231",0,4
"seq1232",0,1
"seq1233",0,1
"seq1234",0,1
"seq1235",0,1
"seq1236",0,1
"seq1237",0,6
"seq1238",0,2
"seq1239",0,1
"seq124",0,1
"seq1240",0,1
"seq1241",0,1
"seq1242",0,1
"seq1243",0,1
"seq1244",0,7
"seq1245",0,1
"seq1246",0,1
"seq1247",0,1
"seq1248",0,1
"seq1249",0,1
"seq125",0,4
"seq1250",0,3
"seq1251",0,1
"seq1252",0,1
"seq1253",0,1
"seq1254",0,1
"seq1255",0,1
"seq1256",0,1
"seq1257",0,1
"seq1258",0,1
"seq1259",0,1
"seq126",0,1
"seq1260",0,3
"seq1261",0,1
"seq1262",0,1
"seq1263",0,3
"seq1264",0,1
"seq1265",0,1
"seq1266",0,1
"seq1267",0,1
"seq1268",0,1
"seq1269",0,1
"seq127",0,1
"seq1270",0,1
"seq1271",0,1
"seq1272",0,1
"seq1273",0,1
"seq1274",0,7
"seq1275",0,1
"seq1276",0,1
"seq1277",0,1
"seq1278",0,4
"seq1279",0,1
"seq128",0,6
"seq1280",0,1
"seq1281",0,1
"seq1282",0,1
"seq1283",0,7
"seq1284",0,1
"seq1285",0,1
"seq1286",0,3
"seq1287",0,2
"seq1288",0,4
"seq1289",0,1
"seq129",0,1
"seq1290",0,1
"seq1291",0,1
"seq1292",0,1
"seq1293",0,1
"seq1294",0,1
"seq1295",0,7
"seq1296",0,1
"seq1297",0,1
"seq1298",0,1
"seq1299",0,1
"seq13",1,1
"seq130",0,1
"seq1300",0,2
"seq1301",0,1
"seq1302",0,1
"seq1303",0,1
"seq1304",0,1
"seq1305",0,1
"seq1306",0,1
"seq1307",0,1
"seq1308",0,3
"seq1309",0,1
"seq131",0,1
"seq1310",0,2
"seq1311",0,1
"seq1312",0,1
"seq1313",0,3
"seq1314",0,1
"seq1315",0,1
"seq1316",0,1
"seq1317",0,4
"seq1318",0,1
"seq1319",0,1
"seq132",0,3
"seq1320",0,1
"seq1321",0,1
"seq1322",0,1
"seq1323",0,5
"seq1324",0,2
"seq1325",0,1
"seq1326",0,1
"seq1327",0,1
"seq1328",0,1
"seq1329",0,1
"seq133",0,1
"seq1330",0,1
"seq1331",0,1
"seq1332",0,1
"seq1333",0,1
"seq1334",0,1
"seq1335",0,1
"seq1336",0,1
"seq1337",0,1
"seq1338",0,1
"seq1339",0,2
"seq134",0,1
"seq1340",0,5
"seq1341",0,1
"seq1342",0,1
"seq1343",0,1
"seq1344",0,1
"seq1345",0,2
"seq1346",0,1
"seq1347",0,1
"seq1348",0,1
"seq1349",0,1
"seq135",0,1
"seq1350",0,1
"seq1351",0,1
"seq1352",0,1
"seq1353",0,1
"seq1354",0,1
"seq1355",0,1
"seq1356",0,1
"seq1357",0,1
"seq1358",0,1
"seq1359",0,1
"seq136",0,1
"seq1360",0,1
"seq1361",0,1
"seq1362",0,1
"seq1363",0,1
"seq1364",0,1
"seq1365",0,2
"seq1366",0,1
"seq1367",0,1
"seq1368",0,1
"seq1369",0,1
"seq137",0,1
"seq1370",0,2
"seq1371",0,2
"seq1372",0,1
"seq1373",0,1
"seq1374",0,1
"seq1375",0,1
"seq1376",0,6
"seq1377",0,1
"seq1378",0,2
"seq1379",0,1
"seq138",0,1
"seq1380",0,1
"seq1381",0,1
"seq1382",0,1
"seq1383",0,2
"seq1384",0,1
"seq1385",0,1
"seq1386",0,1
"seq1387",0,1
"seq1388",0,1
"seq1389",0,1
"seq139",0,1
"seq1390",0,1
"seq1391",0,2
"seq1392",0,1
"seq1393",0,1
"seq1394",0,1
"seq1395",0,1
"seq1396",0,1
"seq1397",0,1
"seq1398",0,2
"seq1399",0,1
"seq14",2,9
"seq140",0,1
"seq1400",0,1
"seq1401",0,1
"seq1402",0,1
"seq1403",0,1
"seq1404",0,1
"seq1405",0,2
"seq1406",0,1
"seq1407",0,3
"seq1408",0,1
"seq1409",0,1
"seq141",0,8
"seq1410",0,1
"seq1411",0,1
"seq1412",0,1
"seq1413",0,1
"seq1414",0,6
"seq1415",0,1
"seq1416",0,3
"seq1417",0,1
"seq1418",0,1
"seq1419",0,1
"seq142",0,5
"seq1420",0,1
"seq1421",0,1
"seq1422",0,1
"seq1423",0,1
"seq1424",0,1
"seq1425",0,3
"seq1426",0,1
"seq1427",0,3
"seq1428",0,1
"seq1429",0,1
"seq143",0,4
"seq1430",0,1
"seq1431",0,1
"seq1432",0,1
"seq1433",0,1
"seq1434",0,1
"seq1435",0,1
"seq1436",0,1
"seq1437",0,1
"seq1438",0,1
"seq1439",0,9
"seq144",0,1
"seq1440",0,1
"seq1441",0,1
"seq1442",0,1
"seq1443",0,1
"seq1444",0,9
"seq1445",0,1
"seq1446",0,1
"seq1447",0,1
"seq1448",0,1
"seq1449",0,1
"seq145",0,1
"seq1450",0,1
"seq1451",0,5
"seq1452",0,1
"seq1453",0,3
"seq1454",0,1
"seq1455",0,1
"seq1456",0,1
"seq1457",0,1
"seq1458",0,1
"seq1459",0,1
"seq146",0,2
"seq1460",0,1
"seq1461",0,1
"seq1462",0,1
"seq1463",0,2
"seq1464",0,1
"seq1465",0,1
"seq1466",0,1
"seq1467",0,1
"seq1468",0,1
"seq1469",0,1
"seq147",0,2
"seq1470",0,2
"seq1471",0,1
"seq1472",0,1
"seq1473",0,1
"seq1474",0,2
"seq1475",0,2
"seq1476",0,1
