"seq_unique","HH119-CO-SMILF","HH119-COLP","HH119-SI-PP_Fol-15","HH119-SI-PP_Fol-34","HH119-SILP","HH119-SI-PP_Fol-33","HH119-SI-MILF","HH119-SI-PP_Fol-24","HH119-SI-PP_Fol-12","HH119-SI-PP_Fol-23","HH119-SI-PP_Fol-5","HH119-SI-PP_Fol-4"
"seq1",1,3,1,0,0,0,0,0,0,0,0,0
"seq10",0,1,0,1,0,0,0,0,0,0,0,0
"seq11",0,0,0,0,2,0,0,0,0,0,0,0
"seq2",2,0,0,0,0,0,0,0,0,0,0,0
"seq3",1,0,0,0,0,1,0,0,0,0,0,0
"seq4",0,0,0,0,0,0,1,0,0,0,0,0
"seq5",0,1,0,0,0,0,1,1,0,0,0,0
"seq6",0,0,0,0,0,0,2,0,0,0,0,0
"seq7",0,0,0,0,0,0,2,0,0,0,0,0
"seq8",0,0,0,0,0,0,0,0,1,1,1,0
"seq9",0,0,0,0,0,0,0,0,0,0,0,1
