"seq_unique","HH119-CO-SMILF","HH119-SI-PP_Fol-15","HH119-SI-PP_Fol-5","HH119-SI-PP_Fol-27","HH119-SI-PP_Fol-33","HH119-SI-PP_Fol-23","HH119-SILP","HH119-COLP","HH119-SI-PP_Fol-16","HH119-SI-PP_Fol-18","HH119-SI-MILF","HH119-SI-PP_Fol-13"
"seq1",1,0,0,0,0,0,0,0,0,0,0,0
"seq10",0,1,0,0,0,0,0,0,0,0,0,0
"seq11",0,0,1,0,0,0,0,0,0,0,0,0
"seq12",0,0,0,1,0,0,0,0,0,0,0,0
"seq13",0,0,0,0,1,0,0,0,0,0,0,0
"seq14",0,0,0,0,0,1,0,0,0,0,0,0
"seq15",0,0,0,0,0,0,2,0,0,0,0,0
"seq16",0,0,0,0,0,0,1,0,0,0,0,0
"seq17",0,0,0,0,0,0,2,0,0,0,0,0
"seq18",1,0,0,0,0,0,1,0,0,0,0,0
"seq19",0,0,0,0,0,0,1,0,0,0,0,0
"seq2",1,0,0,0,0,0,0,0,0,0,0,0
"seq20",0,0,0,0,0,0,1,0,0,0,0,0
"seq21",0,0,0,0,0,0,1,0,0,0,0,0
"seq22",0,0,0,0,0,0,1,0,0,0,0,0
"seq23",0,0,0,0,0,0,1,0,0,0,0,0
"seq24",0,0,0,0,0,0,2,1,0,0,0,0
"seq25",0,0,0,0,0,0,0,1,0,0,0,0
"seq26",0,0,0,0,0,0,0,0,1,0,0,0
"seq27",0,0,0,0,0,0,1,0,0,0,0,0
"seq28",0,0,0,0,0,0,1,0,0,0,0,0
"seq3",1,0,0,0,0,0,0,0,0,0,0,0
"seq4",1,0,0,0,0,0,0,0,0,0,0,0
"seq5",0,0,0,0,0,0,0,1,0,0,0,0
"seq6",0,0,0,0,0,0,0,2,0,1,0,0
"seq7",0,0,0,0,0,0,0,0,0,0,1,0
"seq8",0,0,0,0,0,0,0,0,0,0,1,0
"seq9",0,0,0,0,0,0,0,0,0,0,0,1
