"seq_unique","HH119-CO-SMILF","HH119-COLP","HH119-SI-MILF","HH119-SI-PP_Fol-9","HH119-SI-PP_Fol-6","HH119-SI-PP_Fol-30","HH119-SI-PP_Fol-22","HH119-SILP"
"seq1",1,0,0,0,0,0,0,0
"seq10",0,5,0,0,0,0,0,0
"seq11",0,0,1,0,0,0,0,0
"seq12",0,0,1,1,0,0,0,0
"seq13",0,0,1,0,0,0,0,0
"seq14",0,0,0,0,1,0,0,0
"seq15",0,0,0,0,0,1,0,0
"seq16",0,0,0,0,0,0,1,0
"seq17",0,0,0,0,0,0,0,1
"seq18",0,1,0,0,0,0,0,0
"seq19",0,1,0,0,0,0,0,0
"seq2",1,0,0,0,0,0,0,0
"seq20",0,0,0,0,0,0,0,1
"seq3",1,0,0,0,0,0,0,0
"seq4",1,0,0,0,0,0,0,0
"seq5",1,0,0,0,0,0,0,0
"seq6",1,0,0,0,0,0,0,0
"seq7",1,0,0,0,0,0,0,0
"seq8",1,0,0,0,0,0,0,0
"seq9",0,1,0,0,0,0,0,0
