"seq_unique","HH119-CO-SMILF","HH119-COLP","HH119-SILP","HH119-SI-PP_Fol-28","HH119-SI-PP_Fol-26","HH119-SI-MILF","HH119-SI-PP_Fol-30","HH119-SI-PP_Fol-12","HH119-SI-PP_Fol-11","HH119-SI-PP_Fol-8"
"seq1",2,1,2,0,0,0,0,0,0,0
"seq10",0,0,0,1,0,0,0,0,0,0
"seq11",0,0,0,0,1,0,0,0,0,0
"seq12",0,0,1,0,0,0,0,0,0,0
"seq2",2,0,0,0,0,0,0,0,0,0
"seq3",0,0,0,0,0,1,0,0,0,0
"seq4",0,0,0,0,0,1,1,0,0,0
"seq5",0,0,0,0,0,1,0,1,0,0
"seq6",0,0,0,0,0,1,0,0,0,0
"seq7",0,0,0,0,0,1,0,0,0,0
"seq8",0,0,0,0,0,0,0,0,2,0
"seq9",0,0,1,0,0,0,0,0,0,1
