"seq_unique","HH119-CO-SMILF","HH119-SI-MILF","HH119-SI-PP_Fol-2","HH119-SI-PP_Fol-32","HH119-SI-PP_Fol-29","HH119-SI-PP_Fol-20","HH119-COLP","HH119-SI-PP_Fol-14","HH119-SI-PP_Fol-15"
"seq1",1,1,0,0,0,0,0,0,0
"seq10",0,0,1,0,0,0,0,0,0
"seq11",0,0,0,1,0,0,0,0,0
"seq12",0,0,0,0,1,0,0,0,0
"seq13",0,0,0,0,0,1,0,0,0
"seq14",0,0,0,0,0,0,1,0,0
"seq2",1,0,0,0,0,0,0,0,0
"seq3",1,0,0,0,0,0,0,0,0
"seq4",1,0,0,0,0,0,0,0,0
"seq5",1,0,0,0,0,0,0,0,0
"seq6",1,0,0,0,0,0,0,0,0
"seq7",0,0,0,0,0,0,1,0,0
"seq8",0,0,0,0,0,0,0,1,0
"seq9",0,0,0,0,0,0,0,0,1
