"seq_unique","Memory_Bcells","PCs","GC_B_cells"
"seq1",1,0,0
"seq10",1,0,0
"seq11",1,0,0
"seq12",1,0,0
"seq13",1,2,0
"seq14",1,1,0
"seq15",1,0,0
"seq16",1,0,0
"seq17",0,0,1
"seq18",1,0,0
"seq19",1,0,0
"seq2",1,0,0
"seq20",1,0,0
"seq21",1,0,0
"seq22",1,0,0
"seq23",2,0,0
"seq24",1,1,0
"seq25",0,0,1
"seq26",0,2,5
"seq27",1,0,0
"seq28",0,0,1
"seq29",1,0,0
"seq3",1,0,0
"seq30",0,2,0
"seq31",0,0,1
"seq32",1,0,0
"seq33",0,1,0
"seq34",0,1,0
"seq35",0,1,0
"seq36",0,1,0
"seq37",0,2,0
"seq38",0,1,0
"seq39",0,1,0
"seq4",0,1,0
"seq40",0,1,0
"seq5",1,0,0
"seq6",2,0,0
"seq7",3,4,0
"seq8",2,0,0
"seq9",2,0,0
