"seq_unique","HH119-CO-SMILF","HH119-SI-MILF","HH119-SI-PP_Fol-4","HH119-SI-PP_Fol-7","HH119-COLP","HH119-SI-PP_Fol-12","HH119-SI-PP_Fol-13","HH119-SI-PP_Fol-10","HH119-SI-PP_Fol-23","HH119-SI-PP_Fol-32","HH119-SI-PP_Fol-29","HH119-SILP","HH119-SI-PP_Fol-11"
"seq1",1,1,0,0,0,0,0,0,0,0,0,0,0
"seq10",0,1,0,0,0,0,0,0,0,0,0,0,0
"seq11",0,1,1,1,0,0,0,0,0,0,0,0,0
"seq12",0,1,0,0,3,0,0,0,0,0,0,0,0
"seq13",0,0,0,1,0,0,0,0,0,0,0,0,0
"seq14",0,0,0,1,0,1,0,0,0,0,0,0,0
"seq15",0,0,0,0,0,0,1,0,0,0,0,0,0
"seq16",0,0,0,0,0,0,0,1,0,0,0,0,0
"seq17",0,0,0,0,0,0,0,0,1,0,0,0,0
"seq18",0,0,0,0,0,0,0,0,0,1,0,0,0
"seq19",0,0,0,0,0,0,0,0,0,0,1,0,0
"seq2",1,0,0,0,0,0,0,0,0,0,0,1,0
"seq20",0,0,0,0,0,0,0,0,0,0,0,0,1
"seq21",0,0,0,0,0,0,0,0,0,0,0,1,0
"seq22",0,0,0,0,1,0,0,0,0,0,0,0,0
"seq23",0,0,1,0,0,0,0,0,0,0,0,0,0
"seq3",1,0,0,0,0,0,0,0,0,0,0,0,0
"seq4",1,0,0,0,0,0,0,0,0,0,0,0,0
"seq5",1,2,0,0,0,0,0,0,0,0,0,0,0
"seq6",0,0,0,0,1,0,0,0,0,0,0,0,0
"seq7",0,1,0,0,0,0,0,0,0,0,0,0,0
"seq8",0,1,0,0,0,0,0,0,0,0,0,2,0
"seq9",0,1,0,0,0,0,0,0,0,0,0,0,0
