"seq_unique","HH119-SI-MILF","HH119-SI-PP_Fol-12","HH119-SI-PP_Fol-11","HH119-SI-PP_Fol-4","HH119-SI-PP_Fol-22","HH119-SI-PP_Fol-28","HH119-SILP","HH119-SI-PP_Fol-9","HH119-SI-PP_Fol-15","HH119-SI-PP_Fol-2","HH119-SI-PP_Fol-25"
"seq1",1,0,0,0,0,0,0,0,0,0,0
"seq10",0,1,0,0,0,0,0,0,0,0,0
"seq11",0,0,1,0,0,0,0,0,0,0,0
"seq12",0,0,0,1,0,0,0,0,0,0,0
"seq13",0,0,0,0,1,0,0,0,0,0,0
"seq14",0,0,0,0,0,1,0,0,0,0,0
"seq15",0,0,0,0,0,0,1,0,0,0,0
"seq16",0,0,0,0,0,0,3,0,0,0,0
"seq17",0,0,0,0,0,0,1,0,0,0,0
"seq18",0,0,0,0,0,0,5,0,0,0,0
"seq19",0,0,0,0,0,0,1,0,0,0,0
"seq2",1,0,0,0,0,1,0,0,0,0,0
"seq20",0,0,0,0,0,0,1,0,0,0,0
"seq21",0,0,0,0,0,0,1,0,0,0,0
"seq3",1,0,0,0,0,1,0,0,0,0,0
"seq4",1,0,0,0,0,0,0,0,0,0,0
"seq5",1,0,0,1,0,0,1,0,0,0,0
"seq6",1,0,0,0,0,0,0,0,0,0,0
"seq7",0,0,0,0,0,0,0,1,0,0,0
"seq8",0,0,0,0,0,0,0,0,1,1,0
"seq9",0,1,0,0,0,0,0,0,0,0,1
