"seq_unique","HH119-CO-SMILF","HH119-SI-MILF","HH119-SI-PP_Fol-24","HH119-SI-PP_Fol-33","HH119-COLP","HH119-SI-PP_Fol-10","HH119-SI-PP_Fol-12","HH119-SI-PP_Fol-13","HH119-SI-PP_Fol-4","HH119-SI-PP_Fol-14","HH119-SI-PP_Fol-7"
"seq1",2,1,0,0,0,0,0,0,0,0,0
"seq10",0,0,1,0,0,0,0,0,0,0,0
"seq11",0,0,0,1,0,0,0,0,0,0,0
"seq12",0,1,0,0,0,0,0,0,0,0,0
"seq2",0,0,0,0,1,0,0,0,0,0,0
"seq3",0,1,0,0,0,0,0,0,0,0,0
"seq4",0,1,0,0,0,2,1,0,0,0,0
"seq5",0,1,0,0,0,0,0,1,1,0,0
"seq6",0,1,0,0,0,0,0,0,0,0,0
"seq7",0,0,0,0,0,0,0,0,0,1,0
"seq8",0,0,0,0,0,0,0,0,0,0,1
"seq9",0,0,0,0,0,0,0,0,0,1,0
