"seq_unique","Memory_Bcells","PCs","GC_B_cells","Unconventional_Bcells"
"seq1",1,0,0,0
"seq10",1,0,0,0
"seq11",3,4,0,0
"seq12",1,1,0,0
"seq13",1,0,0,0
"seq14",1,0,0,0
"seq15",0,0,2,0
"seq16",1,0,0,0
"seq17",0,5,0,0
"seq18",0,18,0,0
"seq19",0,4,0,0
"seq2",2,0,0,1
"seq20",0,3,0,0
"seq21",0,1,0,0
"seq22",0,1,0,0
"seq23",0,1,0,0
"seq24",0,1,0,0
"seq25",0,1,0,0
"seq26",0,1,0,0
"seq27",0,1,0,0
"seq28",0,1,0,0
"seq29",0,1,0,0
"seq3",1,0,0,0
"seq30",0,1,0,0
"seq4",1,0,0,0
"seq5",2,0,0,0
"seq6",1,0,0,0
"seq7",0,1,0,0
"seq8",1,0,0,0
"seq9",1,0,0,0
