"seq_unique","IGHA2","IGHG2","IGHA1","NA","IGHM/D"
"seq1",1,0,0,0,0
"seq10",0,1,0,0,0
"seq11",1,6,0,0,0
"seq12",0,1,1,0,0
"seq13",1,0,0,0,0
"seq14",0,1,0,0,0
"seq15",2,0,0,0,0
"seq16",0,1,0,0,0
"seq17",0,4,0,1,0
"seq18",2,13,2,1,0
"seq19",3,0,1,0,0
"seq2",0,3,0,0,0
"seq20",0,1,0,1,1
"seq21",0,0,1,0,0
"seq22",0,0,1,0,0
"seq23",1,0,0,0,0
"seq24",0,0,0,1,0
"seq25",0,0,1,0,0
"seq26",0,0,0,1,0
"seq27",0,1,0,0,0
"seq28",1,0,0,0,0
"seq29",0,0,1,0,0
"seq3",0,1,0,0,0
"seq30",0,0,1,0,0
"seq4",0,1,0,0,0
"seq5",2,0,0,0,0
"seq6",0,1,0,0,0
"seq7",0,1,0,0,0
"seq8",0,1,0,0,0
"seq9",0,1,0,0,0
